feature,importance
PMVL[Ref Unik Asset]_FC_Taux_HY,0.03173559575869749
PMVL[Inst Num]_8297652,0.0309926328008216
PMVL[3A]_Hors mandat INPR AG,0.030310529569946943
PMVL[CANTON]_MHRS MICHELIN,0.02932934243252535
PMVL[3A]_Mandats LBPAM MHP PERE,0.028735990866415376
PMVL[Ref Unik Codes Completed]_PP_FAC_DIV_PRATIC,0.026099075870728523
PMVL[Parametres_Indices.TICKER]_ActionMixte,0.025685254288207775
PMVL[Ptf name]_MRS SG HM ACT COTE,0.024822588482264568
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_Eme,0.024125042399927733
PMVL[CANTON]_MHP PERE,0.023299473245650723
PMVL[Parametres_Indices.TICKER]_Monetaire,0.022460853702117013
PMVL[Inst Num]_4622700,0.022110895255639366
PMVL[Ref Unik Asset]_Obl_Entr_Sub_Stru,0.022034287036887756
PMVL[Inst Num]_7240232,0.021087385816387392
PMVL[CANTON]_MHRS AG SG,0.020174323939982645
PMVL[Inst Num]_8615538,0.020022033319843913
PMVL[3A]_Hors mandat MHRS MICHELIN,0.019644427509366895
PMVL[Inst Num]_8615535,0.019032431843105255
PMVL[Inst Num]_8615534,0.01775279162603537
PMVL[Inst Num]_7240285,0.01755854959630014
PMVL[CIC]_XL44,0.017070692450317983
PMVL[CIC]_NL54,0.016877037201387935
PMVL[Inst Num]_4622726,0.016105252543447867
PMVL[Ref Unik Asset]_Act_Cot_EUR,0.015156620501799757
PMVL[Inst Num]_5876542,0.015084800810789965
PMVL[Inst Num]_7240282,0.015056460217212143
PMVL[CIC]_XL41,0.014312463512396336
PMVL[Inst Num]_9529463,0.013990390616521116
PMVL[3A]_Mandats LBPAM MHRS SG,0.012149937364883276
PMVL[CIC]_LU49,0.01120871162769137
PMVL[Inst Num]_4622712,0.01091203340028547
PMVL[CIC]_LU44,0.010805433302787076
PMVL[Inst Num]_8009926,0.009440842105054189
PMVL[Inst Num]_5080831,0.009253977616372384
PMVL[CIC]_XL42,0.008950713696339272
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_ExEUR,0.008219356925430308
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_EUR_SMC,0.007491090177699516
PMVL[Inst Num]_5030921,0.0070612967810866414
PMVL[Inst Num]_4622717,0.007038214776701605
PMVL[Inst Num]_10748672,0.006623151107268953
PMVL[CIC]_GB42,0.006594960997566095
PMVL[Inst Num]_10230506,0.006070350635624643
PMVL[Ref Unik Codes Completed]_PA_Obl_Struct,0.006028243426492326
PMVL[Inst Num]_5873493,0.005935226970045923
PMVL[Inst Num]_1167622,0.0056106395158378305
PMVL[CIC]_FR44,0.0055808886444197155
PMVL[Inst Num]_5873490,0.005121153407543828
PMVL[Inst Num]_11972345,0.0049663879804727855
PMVL[Ptf name]_MHRS MICHELIN HM ACT COTE,0.0049482490151013196
PMVL[Inst Num]_7271877,0.004874929619694555
PMVL[Ptf name]_QUATREM HM ACT NC,0.004795470402297462
PMVL[Ref Unik Asset]_FC_Act_AsPac,0.0044281912756079156
PMVL[Ref Unik Asset]_FC_Alter_Autre,0.00431028709591561
PMVL[Ref Unik Asset]_FC_Taux_Souv,0.0038697437297233934
PMVL[Inst Num]_5370699,0.003804276279612518
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_Global,0.0036558737414181795
PMVL[Inst Num]_5873258,0.00327791634078486
PMVL[Inst Num]_10184067,0.0031881116458882855
PMVL[Inst Num]_5873302,0.003079753057267665
