fold,val_start_date,val_end_date,val_size,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn
1,2026-01-15,2026-01-23,1351,0.65,0.772020725388601,0.755701217619567,0.7396514161220044,0.9077540106951871,0.8151260504201681,0.5447621910787683,364.0,239.0,69.0,679.0,0.804245262103032,0.7783921850563162,0.18551789998119708,290211357.6345952,261874552.3559764,28336805.278618813,239.0,69.0,214812.25583611784,1095709.4240835833,43920.55234070343
2,2026-01-23,2026-02-03,1351,0.25,0.8097705403404886,0.7450899178702917,0.7745187901008249,0.9871495327102804,0.8680020544427324,0.5990952475555702,249.0,246.0,11.0,845.0,0.8394352402529972,0.8732630016741665,0.15994680194275607,207885296.02229193,207842480.78916532,42815.23312659624,246.0,11.0,153875.12658940928,844888.1332892901,416.2666576458465
3,2026-02-03,2026-02-17,1351,0.2,0.8660251665433013,0.7092729639908179,0.8756260434056762,0.9703977798334875,0.9205792014041246,0.5281578336870926,121.0,149.0,32.0,1049.0,0.8811234453695139,0.9637249683304813,0.11677167530695338,119892123.88084957,94820682.3316355,25071441.549214065,149.0,32.0,88743.24491550672,636380.418333124,83790.60482191406
4,2026-02-17,2026-03-03,1351,0.2,0.8660251665433013,0.7548530877954372,0.8881057268722466,0.9491525423728814,0.9176149294492489,0.5703038047099879,162.0,127.0,54.0,1008.0,0.8674499377683941,0.951560729228796,0.14483213516629861,107630208.1356721,91615452.1887812,16014755.94689091,127.0,54.0,79667.06745793643,721381.5132974898,31717.033646371445
5,2026-03-03,2026-03-11,1355,0.45,0.8715867158671586,0.7770131938125568,0.9140555058191585,0.9290263876251137,0.9214801444043321,0.5699466612960771,160.0,96.0,78.0,1021.0,0.8739727877616013,0.9633769355404069,0.10352769758732153,66484876.828709885,35252635.5633683,31232241.265341584,96.0,78.0,49066.32976288552,367214.95378508646,42822.74928267342
