threshold,prec_0,rec_0,f1_0,prec_1,rec_1,f1_1
0.1,1.0,0.08193668528864059,0.1514629948364888,0.8423409018228334,1.0,0.9144245790661344
0.15000000000000002,0.9811320754716981,0.09683426443202979,0.17627118644067796,0.8444515715202052,0.9996203492786636,0.9155076495132128
0.2,0.9821428571428571,0.10242085661080075,0.18549747048903878,0.8452648475120386,0.9996203492786636,0.9159853887632632
0.25,0.9836065573770492,0.11173184357541899,0.20066889632107024,0.8466237942122187,0.9996203492786636,0.916782729805014
0.30000000000000004,0.9696969696969697,0.1191806331471136,0.21227197346600332,0.8476650563607085,0.9992406985573272,0.9172329674159261
0.35,0.972972972972973,0.1340782122905028,0.23567921440261866,0.8498546980949305,0.9992406985573272,0.9185133484557669
0.4,0.9753086419753086,0.14711359404096835,0.255663430420712,0.8517799352750809,0.9992406985573272,0.9196366177498253
0.45000000000000007,0.9775280898876404,0.16201117318435754,0.2779552715654952,0.853990914990266,0.9992406985573272,0.9209237228831351
0.5,0.9509803921568627,0.18063314711359404,0.30359937402190923,0.8566308243727598,0.9981017463933182,0.9219708925127126
0.55,0.9349593495934959,0.21415270018621974,0.3484848484848485,0.8615485564304461,0.996962794229309,0.9243224216825061
0.6,0.8741258741258742,0.23277467411545624,0.36764705882352944,0.8639365918097754,0.9931662870159453,0.9240551042034617
0.65,0.7652582159624414,0.30353817504655495,0.43466666666666665,0.8735632183908046,0.9810174639331815,0.9241773962804005
0.7000000000000001,0.7204724409448819,0.3407821229050279,0.46270543615676357,0.8786424408639013,0.9730447987851177,0.9234372185191857
0.75,0.6735905044510386,0.4227188081936685,0.5194508009153318,0.8906139731827806,0.9582384206529992,0.9231894659839064
0.8,0.5782608695652174,0.49534450651769085,0.5336008024072216,0.900036886757654,0.9263477600607442,0.9130028063610851
0.85,0.5103338632750397,0.5977653631284916,0.5506003430531733,0.9150275373721479,0.8830675778283978,0.8987635239567233
0.9,0.4523809523809524,0.7430167597765364,0.5623678646934461,0.9397116644823067,0.816628701594533,0.8738574040219378
