fold,val_start_date,val_end_date,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample
1,2025-12-31,2026-01-02,0.85,0.7950780880265026,0.8491420859841912,0.9800796812749004,0.7509157509157509,0.8503283788454891,0.5935679523523589,450.0,25.0,408.0,1230.0,0.9330987725724567,0.9789913000971683,0.086187698201528,7340.30626657301,1220.3062665730108,6120.0,25.0,408.0,3.4738789714022764
2,2026-01-02,2026-01-19,0.75,0.29058211074301943,0.5,0.0,0.0,0.0,0.0,614.0,0.0,1499.0,0.0,0.770211628599305,0.8691018376037185,0.18928303651414977,22485.0,0.0,22485.0,0.0,1499.0,10.64126833885471
3,2026-01-19,2026-01-30,0.7,0.38334122101277807,0.5105184072126221,1.0,0.021036814425244178,0.041206769683590876,0.0888260469083937,782.0,0.0,1303.0,28.0,0.8858952655638416,0.9181391333134724,0.16499600330065578,19545.0,0.0,19545.0,0.0,1303.0,9.24988168480833
4,2026-01-30,2026-02-19,0.6,0.37908187411263605,0.564548651420714,0.9407114624505929,0.15504885993485343,0.2662192393736018,0.1772631837853354,563.0,15.0,1297.0,238.0,0.8514911578733811,0.9168809557931306,0.20786427630372192,20611.8501700381,1156.8501700380998,19455.0,15.0,1297.0,9.754780014215854
5,2026-02-19,2026-03-04,0.7,0.7785646836638338,0.8324043693982075,0.9968253968253968,0.6690340909090909,0.800679983000425,0.6313385536486135,707.0,3.0,466.0,942.0,0.9828175016005122,0.9910550234505194,0.10166247513416077,7179.845877009379,189.8458770093794,6990.0,3.0,466.0,3.3899177889562697
