PMVL[Holding date],PMVL[GROUPE],PMVL[Quote],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Parametres_Indices.TICKER],PRMP_PMVL_future,target
2026-01-05,Groupe MH,23237.59,P,228.0,1,2306420.67,2306420.67,5298170.52,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,2991749.85,0.0,5298170.52,2991749.85,AUXIA AG,Hors mandat AUXIA AG,0.0,2991749.85,5298170.52,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,2991749.85,True
2026-01-06,Groupe MH,23237.59,P,228.0,1,2306420.67,2306420.67,5298170.52,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,2991749.85,0.0,5298170.52,2991749.85,AUXIA AG,Hors mandat AUXIA AG,0.0,2991749.85,5298170.52,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,2991749.85,True
2026-01-07,Groupe MH,23237.59,P,228.0,1,2306420.67,2306420.67,5298170.52,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,2991749.85,0.0,5298170.52,2991749.85,AUXIA AG,Hors mandat AUXIA AG,0.0,2991749.85,5298170.52,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-08,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-14,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-15,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-16,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,0.0,False
2026-01-19,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,5368939.44,0.0,0.0,5368939.44,0.0,AUXIA AG,Hors mandat AUXIA AG,0.0,0.0,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,False
2026-01-20,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-21,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-22,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-23,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-26,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-27,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-28,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,0.0,False
2026-01-29,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,5368939.44,0.0,0.0,5368939.44,0.0,AUXIA AG,Hors mandat AUXIA AG,0.0,0.0,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,False
2026-01-30,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-02-02,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-02-03,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-02-04,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-02-06,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-02-09,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-02-10,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-02-11,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-02-17,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,0.0,False
2026-02-18,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,5417371.2,0.0,0.0,5417371.2,0.0,AUXIA AG,Hors mandat AUXIA AG,0.0,0.0,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,0.0,False
2026-02-25,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-02-26,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-02-27,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-03-02,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-03-03,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-03-04,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-03-05,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-03-06,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-03-09,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-03-10,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3106880.7300000004,True
2026-03-11,Groupe MH,23742.55,P,228.0,1,2306420.67,2306420.67,5413301.4,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3106880.7300000004,0.0,5413301.4,3106880.7300000004,AUXIA AG,Hors mandat AUXIA AG,0.0,3106880.7300000004,5413301.4,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3106880.7300000004,True
2026-03-12,Groupe MH,23742.55,P,228.0,1,2306420.67,2306420.67,5413301.4,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3106880.7300000004,0.0,5413301.4,3106880.7300000004,AUXIA AG,Hors mandat AUXIA AG,0.0,3106880.7300000004,5413301.4,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3106880.7300000004,True
2026-03-13,Groupe MH,23742.55,P,228.0,1,2306420.67,2306420.67,5413301.4,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3106880.7300000004,0.0,5413301.4,3106880.7300000004,AUXIA AG,Hors mandat AUXIA AG,0.0,3106880.7300000004,5413301.4,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3106880.7300000004,True
2026-03-16,Groupe MH,23742.55,P,228.0,1,2306420.67,2306420.67,5413301.4,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3106880.7300000004,0.0,5413301.4,3106880.7300000004,AUXIA AG,Hors mandat AUXIA AG,0.0,3106880.7300000004,5413301.4,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3106880.7300000004,True
2026-03-17,Groupe MH,23742.55,P,228.0,1,2306420.67,2306420.67,5413301.4,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3106880.7300000004,0.0,5413301.4,3106880.7300000004,AUXIA AG,Hors mandat AUXIA AG,0.0,3106880.7300000004,5413301.4,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3106880.7300000004,True
2026-03-20,Groupe MH,23742.55,P,228.0,1,2306420.67,2306420.67,5413301.4,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3106880.7300000004,0.0,5413301.4,3106880.7300000004,AUXIA AG,Hors mandat AUXIA AG,0.0,3106880.7300000004,5413301.4,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3106880.7300000004,True
2026-03-23,Groupe MH,23742.55,P,228.0,1,2306420.67,2306420.67,5413301.4,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3106880.7300000004,0.0,5413301.4,3106880.7300000004,AUXIA AG,Hors mandat AUXIA AG,0.0,3106880.7300000004,5413301.4,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3106880.7300000004,True
2026-03-24,Groupe MH,23742.55,P,228.0,1,2306420.67,2306420.67,5413301.4,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3106880.7300000004,0.0107658220656743,5471580.039660267,3165159.3696602667,AUXIA AG,Hors mandat AUXIA AG,0.0,3165159.3696602667,5471580.039660267,PP_FAC_Act,AUXIA HM ACT NC,Composite_diversifie,3106880.7300000004,True
2026-03-25,Groupe MH,23742.55,P,228.0,1,2306420.67,2306420.67,5413301.4,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3106880.7300000004,0.0025855043138577,5427297.514121913,3120876.8441219134,AUXIA AG,Hors mandat AUXIA AG,0.0,3120876.8441219134,5427297.514121913,PP_FAC_Act,AUXIA HM ACT NC,Composite_diversifie,3106880.7300000004,True
2026-01-05,Groupe MH,136.46,P,136979.4106,100,18163616.25833989,18163616.25833989,18692210.37,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18163616.25833989,528594.1116601154,-0.0006860850558432,18679385.923804466,515769.66546458006,AUXIA AG,Hors mandat AUXIA AG,0.0,515769.66546458006,18679385.923804466,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,528594.1116601154,True
2026-01-06,Groupe MH,136.46,P,136979.4106,100,18163616.25833989,18163616.25833989,18692210.37,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18163616.25833989,528594.1116601154,-0.0006860850558432,18679385.923804466,515769.66546458006,AUXIA AG,Hors mandat AUXIA AG,0.0,515769.66546458006,18679385.923804466,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,528594.1116601154,True
2026-01-07,Groupe MH,136.46,P,136979.4106,100,18163616.25833989,18163616.25833989,18692210.37,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18163616.25833989,528594.1116601154,0.0007592591223419,18706402.60124016,542786.3429002725,AUXIA AG,Hors mandat AUXIA AG,0.0,542786.3429002725,18706402.60124016,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.015618924,True
2026-01-08,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381074,563416.015618924,0.0005964328824047,19073894.66682112,574785.5324400477,AUXIA AG,Hors mandat AUXIA AG,0.0,574785.5324400477,19073894.66682112,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.015618924,True
2026-01-14,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381074,563416.015618924,0.0019177766692763,19099082.81599016,599973.6816090867,AUXIA AG,Hors mandat AUXIA AG,0.0,599973.6816090867,19099082.81599016,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.0156189092,False
2026-01-15,Groupe MH,136.72,P,139427.4806,100,18499109.13438109,18499109.13438109,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.13438109,563416.0156189092,-0.001361731833715,19036567.10267225,537457.9682911597,AUXIA AG,Hors mandat AUXIA AG,0.0,537457.9682911597,19036567.10267225,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.015618924,True
2026-01-16,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381074,563416.015618924,0.003123358964012,19122064.25880396,622955.1244228818,AUXIA AG,Hors mandat AUXIA AG,0.0,622955.1244228818,19122064.25880396,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,0.0,False
2026-01-19,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,19062525.15,0.0,-0.00311814443766,19003085.443235774,-59439.70676422492,AUXIA AG,Hors mandat AUXIA AG,0.0,-59439.70676422492,19003085.443235774,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.015618924,False
2026-01-20,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381074,563416.015618924,-0.0012148493272941,19039367.054144997,540257.919763919,AUXIA AG,Hors mandat AUXIA AG,0.0,540257.919763919,19039367.054144997,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.015618924,True
2026-01-21,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381074,563416.015618924,0.0018961223914867,19098670.030775197,599560.8963941187,AUXIA AG,Hors mandat AUXIA AG,0.0,599560.8963941187,19098670.030775197,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.015618924,False
2026-01-22,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381074,563416.015618924,-0.0002876809804438,19057041.224075112,557932.089694038,AUXIA AG,Hors mandat AUXIA AG,0.0,557932.089694038,19057041.224075112,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.015618924,True
2026-01-23,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381074,563416.015618924,0.0006566554274846,19075042.66060131,575933.526220236,AUXIA AG,Hors mandat AUXIA AG,0.0,575933.526220236,19075042.66060131,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.015618924,True
2026-01-26,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381074,563416.015618924,0.0009373021686482,19080392.496163007,581283.3617819324,AUXIA AG,Hors mandat AUXIA AG,0.0,581283.3617819324,19080392.496163007,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.015618924,True
2026-01-27,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381074,563416.015618924,0.0035306419361802,19129828.10070408,630718.9663230032,AUXIA AG,Hors mandat AUXIA AG,0.0,630718.9663230032,19129828.10070408,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,0.0,False
2026-01-29,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,19062525.15,0.0,0.0025993154289233,19112074.665736634,49549.515736635774,AUXIA AG,Hors mandat AUXIA AG,0.0,49549.515736635774,19112074.665736634,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.0156189017,False
2026-01-30,Groupe MH,136.72,P,139427.4806,100,18499109.134381097,18499109.134381097,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381097,563416.0156189017,0.0004221185674252,19070571.795807827,571462.6614267305,AUXIA AG,Hors mandat AUXIA AG,0.0,571462.6614267305,19070571.795807827,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.015618924,True
2026-02-02,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381074,563416.015618924,-0.0001283077515693,19060079.280258767,560970.1458776928,AUXIA AG,Hors mandat AUXIA AG,0.0,560970.1458776928,19060079.280258767,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.015618924,True
2026-02-03,Groupe MH,136.72,P,139427.4806,100,18499109.134381074,18499109.134381074,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381074,563416.015618924,-0.0022987014758398,19018706.09530446,519596.9609233849,AUXIA AG,Hors mandat AUXIA AG,0.0,519596.9609233849,19018706.09530446,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,563416.0156189203,False
2026-02-04,Groupe MH,136.72,P,139427.4806,100,18499109.13438108,18499109.13438108,19062525.15,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.13438108,563416.0156189203,-0.0060063528732313,18948028.89729425,448919.7629131712,AUXIA AG,Hors mandat AUXIA AG,0.0,448919.7629131712,18948028.89729425,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,525770.5956189223,False
2026-02-06,Groupe MH,136.45,P,139427.4806,100,18499109.13438108,18499109.13438108,19024879.73,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.13438108,525770.5956189223,-0.002575139522914,18975888.010288592,476778.87590751424,AUXIA AG,Hors mandat AUXIA AG,0.0,476778.87590751424,18975888.010288592,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,525770.5956189223,False
2026-02-09,Groupe MH,136.45,P,139427.4806,100,18499109.13438108,18499109.13438108,19024879.73,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.13438108,525770.5956189223,-0.0022371188695527,18982318.812565047,483209.6781839691,AUXIA AG,Hors mandat AUXIA AG,0.0,483209.6781839691,18982318.812565047,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,525770.5956189223,False
2026-02-10,Groupe MH,136.45,P,139427.4806,100,18499109.13438108,18499109.13438108,19024879.73,PP,FC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.13438108,525770.5956189223,0.0032342597295248,19086411.132369798,587301.9979887158,AUXIA AG,Hors mandat AUXIA AG,0.0,587301.9979887158,19086411.132369798,PP_FAC_Taux,AUXIA HM ACT PIV UC,LF94TRUU,525770.595618926,False
