threshold,prec_0,rec_0,f1_0,prec_1,rec_1,f1_1
0.1,0.6867469879518072,0.10614525139664804,0.18387096774193548,0.844559585492228,0.9901290812452543,0.9115693813351975
0.15000000000000002,0.476,0.22160148975791433,0.30241423125794153,0.8568983224922971,0.9502657555049354,0.9011701170117011
0.2,0.43717277486910994,0.31098696461824954,0.3634385201305767,0.8673359627106489,0.9183750949126803,0.8921261294486447
0.25,0.442,0.41154562383612664,0.4262295081967213,0.8816922500935979,0.8940774487471527,0.8878416588124411
0.30000000000000004,0.43322475570032576,0.49534450651769085,0.4622067767158992,0.8940164254986313,0.8678815489749431,0.8807551531496821
0.35,0.4287769784172662,0.5549348230912476,0.4837662337662338,0.9034733441033925,0.8492786636294609,0.8755381604696674
0.4,0.40671641791044777,0.6089385474860335,0.48769574944071586,0.9112801013941698,0.8189066059225513,0.862627474505099
0.45000000000000007,0.3836824696802646,0.6480446927374302,0.481994459833795,0.9165194346289752,0.7877752467729688,0.847284605961617
0.5,0.35282837967401726,0.6852886405959032,0.46582278481012657,0.9205827067669173,0.7437357630979499,0.8227635447291054
0.55,0.33829611248966085,0.7616387337057728,0.46849942726231386,0.9347604485219164,0.6962794229309036,0.7980852915578764
0.6,0.3132704858593183,0.8044692737430168,0.4509394572025052,0.94140625,0.6404707668944571,0.7623136014460009
0.65,0.2902408111533587,0.8528864059590316,0.433096926713948,0.9504080351537979,0.574791192103265,0.7163472912230897
0.7000000000000001,0.2689732142857143,0.8975791433891993,0.41391155002146846,0.9601160261058739,0.5026575550493546,0.6598554697233989
0.75,0.24836272040302268,0.9180633147113594,0.3909595559080095,0.9629005059021922,0.43356112376613515,0.5979057591623037
0.8,0.22635589421783953,0.9404096834264432,0.36488439306358383,0.9659574468085106,0.3447228549734245,0.5081141578063794
0.85,0.20596533655783958,0.9515828677839852,0.33863485752153744,0.9623188405797102,0.25208807896735,0.39951865222623345
0.9,0.19005847953216373,0.9683426443202979,0.3177512985029025,0.960919540229885,0.15869400151860288,0.2724014336917563
