PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2]
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,MHP,MHP2D,FR0011049709,LBPAM SELECTION ACTIONS EMERGENTS,2357.57,2026-03-13T00:00:00,P,57,1,53800.59,53800.590000000004,134381.49,PP,FC_Act_Emerg,PP_FAC_Act_Eme,FR41,4622717,PP_FAC_Act_Eme,53800.590000000004,80580.9,MSDEEEMN,0.00321412211540508,134813.4085189101,81012.81851891009,MHP AG,Hors mandat MHP AG,0,81012.81851891009,134813.4085189101,2026-03-16T00:00:00,PP_FAC_Act,MHP EDIT HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007475975,MH Lazard action euro LC,492,2026-03-13T00:00:00,P,114872.6982,1,20164514.04732495,20164514.04732495,56517367.51,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,20164514.04732495,36352853.46267505,M7EM,0.00446171954123668,56769532.15303862,36605018.105713665,AUXIA AG,Hors mandat AUXIA AG,0,36605018.105713665,56769532.15303862,2026-03-16T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2450.1,2026-03-13T00:00:00,P,7888,1,8412826.24,8412826.24,19326388.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,10913562.56,M7EM,0.00446171954123668,19412617.7265705,10999791.486570498,AUXIA AG,Hors mandat AUXIA AG,0,10999791.486570498,19412617.7265705,2026-03-16T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,452.89,2026-03-13T00:00:00,P,60537,1,11652333.39,11652333.39,27416601.93,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,15764268.54,M7EM,0.00446171954123668,27538927.118585385,15886593.728585385,AUXIA AG,Hors mandat AUXIA AG,0,15886593.728585385,27538927.118585385,2026-03-16T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6331.6,2026-03-13T00:00:00,P,840,1,1476258,1476258,5318544,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,3842286,M7EM,0.00446171954123668,5342273.851695727,3866015.8516957266,AUXIA AG,Hors mandat AUXIA AG,0,3866015.8516957266,5342273.851695727,2026-03-16T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,956.9,2026-03-13T00:00:00,P,22218,1,8865004.54,8865004.54,21260404.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.54,12395399.66,M7EM,0.00446171954123668,21355262.16087373,12490257.62087373,AUXIA AG,Hors mandat AUXIA AG,0,12490257.62087373,21355262.16087373,2026-03-16T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4432.73,2026-03-13T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,39867973.62,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,19437803.309999995,,0,39867973.62,19437803.309999995,AUXIA AG,Hors mandat AUXIA AG,0,19437803.309999995,39867973.62,,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,145.9,2026-03-13T00:00:00,P,10886,1,1080979.8,1080979.8,1588267.4,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,507287.59999999986,MSDEEEMN,0.00321412211540508,1593372.2853755169,512392.4853755168,AUXIA AG,Hors mandat AUXIA AG,0,512392.4853755168,1593372.2853755169,2026-03-16T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA,AUX2E,LU2541301847,EdRF EM Climate Bonds S EUR H,107.75,2026-03-13T00:00:00,P,35239,1,3518261.7600000007,3518261.7600000002,3797002.25,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,3518261.7600000002,278740.48999999976,,0,3797002.25,278740.48999999976,AUXIA AG,Hors mandat AUXIA AG,0,278740.48999999976,3797002.25,,PP_FAC_Taux,AUXIA HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33409.21,2026-03-13T00:00:00,P,186,1,5000211.96,5000211.96,6214113.06,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,5000211.96,1213901.0999999996,HE00,-0.00103705415014182,6207668.688261677,1207456.7282616766,AUXIA AG,Hors mandat AUXIA AG,0,1207456.7282616766,6207668.688261677,2026-03-16T00:00:00,PP_FAC_Taux,AUXIA HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0011758044,LBPAM PRO ALTO M,1133.72,2026-03-13T00:00:00,P,1153,1,1152877.74,1152877.74,1307179.16,PP,FC_Div,PP_FAC_Taux_Corp_IG,FR42,5873495,PP_FAC_Taux_Corp_IG,1152877.74,154301.41999999993,,0,1307179.16,154301.41999999993,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,154301.41999999993,1307179.16,,PP_FAC_Taux,AUXIA ASS HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0000986531,SELECTION VALEURS MOYENNES,956.9,2026-03-13T00:00:00,P,737,1,291444.63,291444.63,705235.3,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,291444.63,413790.67000000004,M7EM,0.00446171954123668,708381.8621191799,416937.2321191799,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,416937.2321191799,708381.8621191799,2026-03-16T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6331.6,2026-03-13T00:00:00,P,80,1,354119.48,354119.48,506528,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,354119.48,152408.52000000002,M7EM,0.00446171954123668,508787.9858757835,154668.5058757835,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,154668.5058757835,508787.9858757835,2026-03-16T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007475975,MH Lazard action euro LC,492,2026-03-13T00:00:00,P,4450.77846,1,1058205.1096047643,1058205.1096047643,2189783,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,1058205.1096047643,1131577.8903952357,M7EM,0.00446171954123668,2199553.1976021677,1141348.0879974035,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1141348.0879974035,2199553.1976021677,2026-03-16T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-17T00:00:00
EXPORT_PRMP_ADP,2026-03-17T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007074166,LBPAM ACTIONS VALUE EURO,3318.71,2026-03-13T00:00:00,P,360,1,482660.91000000003,482660.91000000003,1194735.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,482660.91000000003,712074.6900000001,M7EM,0.00446171954123668,1200066.1751731313,717405.2651731313,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,717405.2651731313,1200066.1751731313,2026-03-16T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-17T00:00:00
