PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2]
EXPORT_PRMP_ADP,2026-03-12T00:00:00,Groupe MH,MHRS,MRS2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3481.44,2026-03-10T00:00:00,P,1620,1,1731890,1731890,5639932.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,1731890,3908042.8,M7EM,-0.00594613501224214,5606396.998111227,3874506.9981112266,MHRS AG,Hors mandat MHRS AG,0,3874506.9981112266,5606396.998111227,2026-03-11T00:00:00,PP_FAC_Act,MHRS HM ACTIFS COTE,2026-03-12T00:00:00
EXPORT_PRMP_ADP,2026-03-12T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007475975,MH Lazard action euro LC,500.75,2026-03-10T00:00:00,P,114872.6982,1,20164514.04732495,20164514.04732495,57522503.62,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,20164514.04732495,37357989.57267505,M7EM,-0.00594613501224214,57180467.04723329,37015952.99990834,AUXIA AG,Hors mandat AUXIA AG,0,37015952.99990834,57180467.0472333,2026-03-11T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-12T00:00:00
EXPORT_PRMP_ADP,2026-03-12T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2492.58,2026-03-10T00:00:00,P,7888,1,8412826.24,8412826.24,19661471.04,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11248644.799999999,M7EM,-0.00594613501224214,19544561.27865687,11131735.03865687,AUXIA AG,Hors mandat AUXIA AG,0,11131735.03865687,19544561.27865687,2026-03-11T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-12T00:00:00
EXPORT_PRMP_ADP,2026-03-12T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,461.06,2026-03-10T00:00:00,P,60537,1,11652333.39,11652333.39,27911189.22,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,16258855.829999998,M7EM,-0.00594613501224214,27745225.52054564,16092892.130545639,AUXIA AG,Hors mandat AUXIA AG,0,16092892.130545639,27745225.52054564,2026-03-11T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-12T00:00:00
EXPORT_PRMP_ADP,2026-03-12T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6529.71,2026-03-10T00:00:00,P,840,1,1476258,1476258,5484956.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,4008698.4000000004,M7EM,-0.00594613501224214,5452342.108709339,3976084.108709339,AUXIA AG,Hors mandat AUXIA AG,0,3976084.108709339,5452342.108709339,2026-03-11T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-12T00:00:00
EXPORT_PRMP_ADP,2026-03-12T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,982.57,2026-03-10T00:00:00,P,22218,1,8865004.54,8865004.54,21830740.259999998,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.54,12965735.719999999,M7EM,-0.00594613501224214,21700931.730996847,12835927.190996848,AUXIA AG,Hors mandat AUXIA AG,0,12835927.190996848,21700931.730996847,2026-03-11T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-12T00:00:00
EXPORT_PRMP_ADP,2026-03-12T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4466.07,2026-03-10T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,40167833.58,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,19737663.269999996,,0,40167833.58,19737663.269999996,AUXIA AG,Hors mandat AUXIA AG,0,19737663.269999996,40167833.58,,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-12T00:00:00
EXPORT_PRMP_ADP,2026-03-12T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,147.94,2026-03-10T00:00:00,P,10886,1,1080979.8,1080979.8,1610474.84,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,529495.04,MSDEEEMN,0.0153244104371334,1635154.417446837,554174.617446837,AUXIA AG,Hors mandat AUXIA AG,0,554174.617446837,1635154.417446837,2026-03-11T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-12T00:00:00
EXPORT_PRMP_ADP,2026-03-12T00:00:00,Groupe MH,AUXIA,AUX2E,LU2541301847,EdRF EM Climate Bonds S EUR H,108.31,2026-03-10T00:00:00,P,35239,1,3518261.7600000007,3518261.7600000002,3816736.09,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,3518261.7600000002,298474.3299999996,,0,3816736.09,298474.3299999996,AUXIA AG,Hors mandat AUXIA AG,0,298474.3299999996,3816736.09,,PP_FAC_Taux,AUXIA HM ACT COTE,2026-03-12T00:00:00
EXPORT_PRMP_ADP,2026-03-12T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33679.73,2026-03-10T00:00:00,P,186,1,5000211.96,5000211.96,6264429.78,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,5000211.96,1264217.8200000003,HE00,-0.00223805352996298,6250409.650817666,1250197.6908176662,AUXIA AG,Hors mandat AUXIA AG,0,1250197.6908176662,6250409.650817666,2026-03-11T00:00:00,PP_FAC_Taux,AUXIA HM ACT COTE,2026-03-12T00:00:00
