PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name]
EXPORT_PRMP_ADP,2026-02-06T00:00:00,Groupe MH,MHRS,MRS2C,FR0000986531,SELECTION VALEURS MOYENNES,995.81,2026-02-04T00:00:00,P,6580,1,1417462,1417462,6552429.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,1417462,5134967.8,M7EM,-0.00755780270711541,6502907.828319376,5085445.828319376,MHRS AG,Hors mandat MHRS AG,0,5085445.828319376,6502907.828319376,2026-02-05T00:00:00,PP_FAC_Act,MHRS HM ACTIFS COTE
EXPORT_PRMP_ADP,2026-02-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007475975,MH Lazard action euro LC,520.91,2026-02-04T00:00:00,P,114872.698,1,20 164 514,20 164 514,59838337.12,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,20 164 514,311305.01639998704,M7EM,-0.00755780270711541,59386090.77372518,-140941.32987482846,AUXIA AG,Hors mandat AUXIA AG,0,-140941.32987482846,59386090.77372518,2026-02-05T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2525.99,2026-02-04T00:00:00,P,7888,1,8412826.24,8412826.24,19925009.119999997,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11512182.879999997,M7EM,-0.00755780270711541,19774419.83213356,11361593.592133561,AUXIA AG,Hors mandat AUXIA AG,0,11361593.592133561,19774419.83213356,2026-02-05T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,475.02,2026-02-04T00:00:00,P,60537,1,11652333.39,11652333.39,28756285.74,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,17103952.349999998,M7EM,-0.00755780270711541,28538951.405787643,16886618.015787642,AUXIA AG,Hors mandat AUXIA AG,0,16886618.015787642,28538951.405787643,2026-02-05T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6584.83,2026-02-04T00:00:00,P,840,1,1476258,1476258,5531257.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,4054999.2,M7EM,-0.00755780270711541,5489453.049360089,4013195.049360089,AUXIA AG,Hors mandat AUXIA AG,0,4013195.049360089,5489453.049360089,2026-02-05T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,995.81,2026-02-04T00:00:00,P,22218,1,8865004.54,8865004.540000001,22124906.580000002,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.540000001,13259902.040000001,M7EM,-0.00755780270711541,21957690.901155002,13092686.361155001,AUXIA AG,Hors mandat AUXIA AG,0,13092686.361155001,21957690.901155002,2026-02-05T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4344.09,2026-02-04T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,39070745.46,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,18640575.15,,0,39070745.46,18640575.15,AUXIA AG,Hors mandat AUXIA AG,0,18640575.15,39070745.46,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,148.39,2026-02-04T00:00:00,P,10886,1,1080979.8,1080979.8,1615373.54,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,534393.74,MSDEEEMN,-0.0160777255197489,1589402.007612015,508422.20761201484,AUXIA AG,Hors mandat AUXIA AG,0,508422.20761201484,1589402.007612015,2026-02-05T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-06T00:00:00,Groupe MH,AUXIA,AUX2E,LU2541301847,EdRF EM Climate Bonds S EUR H,108.47,2026-02-04T00:00:00,P,35239,1,3518261.7600000007,3518261.7600000002,3822374.33,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,3518261.7600000002,304112.56999999983,,0,3822374.33,304112.56999999983,AUXIA AG,Hors mandat AUXIA AG,0,304112.56999999983,3822374.33,,PP_FAC_Taux,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33853.86,2026-02-04T00:00:00,P,186,1,5000211.96,5000211.96,6296817.96,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,5000211.96,1296606,HE00,-9.59770463316838E-05,6296213.610010911,1296001.6500109108,AUXIA AG,Hors mandat AUXIA AG,0,1296001.6500109108,6296213.610010911,2026-02-05T00:00:00,PP_FAC_Taux,AUXIA HM ACT COTE
