PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2025-12-31T00:00:00,Groupe MH,MHRS,MRS2F,FR0007045950,FEDERIS ISR EURO M,2376.07,2025-12-29T00:00:00,P,1562,1,1973456.13,1973456.13,3711421.34,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,1973456.13,1737965.21,0,3711421.34,1737965.21,MHRS MICHELIN,Hors mandat MHRS MICHELIN,0,1737965.21,3711421.34,PP_FAC_Act,MHRS MICHELIN HM ACT COTE,,
EXPORT_PRMP_ADP,2025-12-31T00:00:00,Groupe MH,MHP,MHP2C,FR0011441583,LBPAM ISR Opti Euro Equity MH,2457.61,2025-12-29T00:00:00,P,71613,1,159048473.58,159048473.58,175996824.93,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,159048473.58,16948351.349999994,0,175996824.93,16948351.349999994,MHP AG,Hors mandat MHP AG,0,16948351.349999994,175996824.93,PP_FAC_Act,MHP HM ACT COTE,,
EXPORT_PRMP_ADP,2025-12-31T00:00:00,Groupe MH,MHP,MHP2C,FR0007045950,FEDERIS ISR EURO M,2376.07,2025-12-29T00:00:00,P,228208,1,492381762.91999996,492381762.91999996,542238182.56,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,492381762.91999996,49856419.639999986,0,542238182.56,49856419.639999986,MHP AG,Hors mandat MHP AG,0,49856419.639999986,542238182.56,PP_FAC_Act,MHP HM ACT COTE,,
EXPORT_PRMP_ADP,2025-12-31T00:00:00,Groupe MH,MHP,MHP2C,FR0014003QV0,LBPAM ISR ACTIONS ENVIRON-MH,13112.56,2025-12-29T00:00:00,P,3481,1,34810000,34810000,45644821.36,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,9529463,PP_FAC_Act_EUR_LC,34810000,10834821.36,0,45644821.36,10834821.36,MHP AG,Hors mandat MHP AG,0,10834821.36,45644821.36,PP_FAC_Act,MHP HM ACT COTE,,
EXPORT_PRMP_ADP,2025-12-31T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3410.48,2025-12-29T00:00:00,P,2700,1,3878112,3878112,9208296,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,3878112,5330184,0,9208296,5330184,AUXIA AG,Hors mandat AUXIA AG,0,5330184,9208296,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2025-12-31T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,948.94,2025-12-29T00:00:00,P,22218,1,8865004.54,8865004.540000001,21083548.919999998,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.540000001,12218544.379999997,0,21083548.919999998,12218544.379999997,AUXIA AG,Hors mandat AUXIA AG,0,12218544.379999997,21083548.919999998,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2025-12-31T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0000986531,SELECTION VALEURS MOYENNES,948.94,2025-12-29T00:00:00,P,737,1,291444.63,291444.63,699368.78,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,291444.63,407924.15,0,699368.78,407924.15,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,407924.15,699368.78,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2025-12-31T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0000986531,SELECTION VALEURS MOYENNES,948.94,2025-12-29T00:00:00,P,1046,1,402464.80000000005,402464.8,992591.24,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,402464.8,590126.44,0,992591.24,590126.44,CAPREVAL AG,batch,0,590126.44,992591.24,PP_FAC_Act,CAPREVAL HM ACT COTE,,
EXPORT_PRMP_ADP,2025-12-31T00:00:00,Groupe MH,CMAV,CMA2C,FR0000986531,SELECTION VALEURS MOYENNES,948.94,2025-12-29T00:00:00,P,13420,1,4747876,4747876,12734774.799999999,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,4747876,7986898.799999999,0,12734774.799999999,7986898.799999999,CMAV AG,Hors mandat CMAV AG,0,7986898.799999999,12734774.799999999,PP_FAC_Act,CMAV HM ACT COTE,,
EXPORT_PRMP_ADP,2025-12-31T00:00:00,Groupe MH,CMAV,CMA2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3410.48,2025-12-29T00:00:00,P,180,1,319125.60000000003,319125.60000000003,613886.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,319125.60000000003,294760.8,0,613886.4,294760.8,CMAV AG,Hors mandat CMAV AG,0,294760.8,613886.4,PP_FAC_Act,CMAV HM ACT COTE,,
