PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)]
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,EMUT,EMU2A,FR0011527944,LBPAM SLECTION PRO RENDGLBLMH,1213.8,2026-01-26T00:00:00,P,289,1,350788.2,PP,FC_Taux_Entr,PP_FAC_Taux_Corp_IG,FR42,7240232,PP_FAC_Taux_Corp_IG,350788.2,0,LECPTREU,0.000630639262365374,351009.4208116945,221.2208116945112,EMUT AG,Hors mandat EMUT AG,0,221.2208116945112,351009.4208116945,2026-01-27T00:00:00,PP_FAC_Taux,EMUT HORS MDT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,EMUT,EMU2A,FR0010831693,Ostrum SRI Cash Plus I C EUR,111077.06,2026-01-28T00:00:00,P,2,1,222154.12,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,222154.12,0,Monetaire,0,222154.12,0,EMUT AG,Hors mandat EMUT AG,0,0,222154.12,,PP_Mon_Fonds,EMUT HORS MDT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,INPR,INP2C,FR0007484142,CLICHY PREMIERE,4837.5,2026-01-23T00:00:00,P,5375,1,26001562.5,PP,FC_Taux_Entr,PP_FAC_Taux_Corp_IG,FR42,8468411,PP_FAC_Taux_Corp_IG,26001562.5,0,LECPTREU,0.000630639262365374,26017960.10619535,16397.606195349246,INPR AG,Hors mandat INPR AG,0,16397.606195349246,26017960.10619535,2026-01-27T00:00:00,PP_FAC_Taux,INPR HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,INPR,INP2C,FR0010831693,Ostrum SRI Cash Plus I C EUR,111258.92,2026-01-28T00:00:00,P,244.3,1,27180554.16,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,27180554.16,0,Monetaire,0,27180554.16,0,INPR AG,Hors mandat INPR AG,0,0,27180554.16,,PP_Mon_Fonds,INPR HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,INPR,INP2C,FR0007442041,UBS MM FRA ACT,12663.03,2026-01-23T00:00:00,P,2053,1,25997200.59,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8615533,PP_FAC_Act_EUR_LC,25997200.59,0,M7EM,-0.0079417429619271,25790737.50518456,-206463.08481543884,INPR AG,Hors mandat INPR AG,0,-206463.08481543884,25790737.50518456,2026-01-28T00:00:00,PP_FAC_Act,INPR HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHP,MHP1R,FR0010831693,Ostrum SRI Cash Plus I C EUR,111258.92,2026-01-28T00:00:00,P,52,1,5785463.84,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,5785463.84,0,Monetaire,0,5785463.84,0,MHP PERE,Mandats LBPAM MHP PERE,0,0,5785463.84,,PP_Mon_Fonds,MHP PERE HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHP,MHP2B,BRED,BRED BANQUE POPULAIR,10.7,2025-12-17T00:00:00,P,974103,1,10422902.1,PP,Act_Cot_EUR,PP_FAC_Act_EUR_SMC,FR31,8979820,PP_FAC_Act_EUR_SMC,10422902.1,0,,0,10422902.1,0,MHP AG,Hors mandat MHP AG,0,0,10422902.1,,PP_FAC_Act,MHP HM ACT NC,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHP,MHP2C,FR0010831693,Ostrum SRI Cash Plus I C EUR,111258.92,2026-01-28T00:00:00,P,2289.5,1,254727297.34,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,254727297.34,0,Monetaire,0,254727297.34,0,MHP AG,Hors mandat MHP AG,0,0,254727297.34,,PP_Mon_Fonds,MHP HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHP,MHP2C,FR0011662014,MM STRATIC,23547.98,2025-12-29T00:00:00,P,4506,1,106107197.88000001,PP,FC_Div,PP_FAC_Act_EUR_MULTI,XL44,4622726,PP_FAC_Act_EUR_MULTI,106107197.88000001,0,,0,106107197.88000001,0,MHP AG,Hors mandat MHP AG,0,0,106107197.88000001,,PP_FAC_Act,MHP HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHP,MHP2C,LU1082505428,SCOR ILS FUND ATROPOS IC EUR H,1494.76,2025-12-31T00:00:00,P,47442.381,1,70914973.42,PP,FC_Alter_Autre,PP_FAC_Taux_Autre,LU46,8467265,PP_FAC_Taux_Autre,70914973.42,0,,0,70914973.42,0,MHP AG,Hors mandat MHP AG,0,0,70914973.42,,PP_FAC_Taux,MHP HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHP,MHP2C,LU0104884605,PICTET WATER-I,632.64,2026-01-28T00:00:00,P,33430,1,21149155.2,PP,FC_Act_EUR,PP_FAC_Act_Global,LU44,1167622,PP_FAC_Act_Global,21149155.2,0,M7EM,-0.0079417429619271,20981194.045539696,-167961.15446030349,MHP AG,Hors mandat MHP AG,0,-167961.15446030349,20981194.045539696,2026-01-28T00:00:00,PP_FAC_Act,MHP HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHP,MHP2C,FR001400EC14,SIENNA COURT TERME - FS-C,110.7567,2026-01-26T00:00:00,P,0.06698999999207444,100,7.42,PP,FC_Taux_Autre,PP_FAC_Taux_Corp_IG,FR42,9708308,PP_FAC_Taux_Corp_IG,7.42,0,LECPTREU,0.000630639262365374,7.424679343326751,0.004679343326751351,MHP AG,Hors mandat MHP AG,0,0.004679343326751351,7.424679343326751,2026-01-27T00:00:00,PP_FAC_Taux,MHP HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHRS,MRS2C,FR0010831693,Ostrum SRI Cash Plus I C EUR,111258.92,2026-01-28T00:00:00,P,296.5,1,32988269.78,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,32988269.78,0,Monetaire,0,32988269.78,0,MHRS AG,Hors mandat MHRS AG,0,0,32988269.78,,PP_Mon_Fonds,MHRS HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHRS,MRS2C,FR0011662014,MM STRATIC,23547.98,2025-12-29T00:00:00,P,374,1,8806944.52,PP,FC_Div,PP_FAC_Act_EUR_MULTI,XL44,4622726,PP_FAC_Act_EUR_MULTI,8806944.52,0,,0,8806944.52,0,MHRS AG,Hors mandat MHRS AG,0,0,8806944.52,,PP_FAC_Act,MHRS HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHRS,MRS2C,FR0014006K51,BNP 12/31 0004,0.9815,2026-01-28T00:00:00,%,3383000,1000,3320414.5,PA,Obl_Entr_Sub_Stru,PA_Obl_Struct,NL54,8800121,PA_Obl_Struct,3320414.5,0,,0,3320414.5,0,MHRS AG,Hors mandat MHRS AG,0,0,3320414.5,,PA_Obl_Struct,MHRS HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MUTUELLE MH,MMH2C,FR0011662014,MM STRATIC,23547.98,2025-12-29T00:00:00,P,414,1,9748863.72,PP,FC_Div,PP_FAC_Act_EUR_MULTI,XL44,4622726,PP_FAC_Act_EUR_MULTI,9748863.72,0,,0,9748863.72,0,MMH AG,Hors mandat MUTUELLE MH AG,0,0,9748863.72,,PP_FAC_Act,MHM HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MUTUELLE MH,MMH2C,LU1105449521,AWF GL CNVRTBLS I EUR PF C,150.49,2026-01-28T00:00:00,P,15124,1,2276010.76,PP,FC_Conv_Monde,PP_FAC_Conv_Global,LU42,7240282,PP_FAC_Conv_Global,2276010.76,0,UCBIFX13,0.0107711057676473,2300525.912624263,24515.152624263428,MMH AG,Hors mandat MUTUELLE MH AG,0,24515.152624263428,2300525.912624263,2026-01-27T00:00:00,PP_FAC_Conv,MHM HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MUTUELLE MH,MMH2C,LU1956164344,BNPP Rspnb US Mlt-Fac Eq I EUR Acc,226.43,2026-01-28T00:00:00,P,20102,1,4551695.86,PP,FC_Act_US,,LU41,11976073,PP_FAC_Act_EUR_LC,4551695.86,0,,0,4551695.86,0,MMH AG,Hors mandat MUTUELLE MH AG,0,0,4551695.86,,PP_FAC_Act,MHM HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MUTUELLE MH,MMH2C,FR0010831693,Ostrum SRI Cash Plus I C EUR,111258.92,2026-01-28T00:00:00,P,32.5,1,3615914.9,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,3615914.9,0,Monetaire,0,3615914.9,0,MMH AG,Hors mandat MUTUELLE MH AG,0,0,3615914.9,,PP_Mon_Fonds,MHM HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHRS,MRS2F,FR0010831693,Ostrum SRI Cash Plus I C EUR,111258.92,2026-01-28T00:00:00,P,9,1,1001330.28,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,1001330.28,0,Monetaire,0,1001330.28,0,MHRS MICHELIN,Hors mandat MHRS MICHELIN,0,0,1001330.28,,PP_Mon_Fonds,MHRS MICHELIN HM ACT COTE,,
