PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6182.52,2026-03-19T00:00:00,P,80,1,354119.48,354119.48,494601.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,354119.48,140482.12,-0.0189226095922859,485242.44701948005,131122.96701948007,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,131122.96701948007,485242.44701948005,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007475975,MH Lazard action euro LC,482.35,2026-03-19T00:00:00,P,4450.77846,1,1058205.1096047643,1058205.1096047643,2146832.99,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,1058205.1096047643,1088627.880395236,-0.0189226095922859,2106209.3074703906,1048004.1978656263,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1048004.1978656263,2106209.3074703906,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007074166,LBPAM ACTIONS VALUE EURO,3263.23,2026-03-19T00:00:00,P,360,1,482660.91,482660.91,1174762.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,482660.91,692101.8900000001,-0.0189226095922859,1152533.2221720594,669872.3121720594,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,669872.3121720594,1152533.2221720594,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4351.99,2026-03-19T00:00:00,P,253,1,678111.4199999999,678111.4199999999,1101053.47,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,678111.4199999999,422942.05000000005,0,1101053.47,422942.05000000005,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,422942.05000000005,1101053.47,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-23T00:00:00,,
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007475975,MH Lazard action euro LC,482.35,2026-03-19T00:00:00,P,3835.24527,1,684647.7968692987,684647.7968692987,1849930.56,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,684647.7968692987,1165282.7631307014,-0.0189226095922859,1814925.0462402813,1130277.2493709826,CAPREVAL AG,batch,0,1130277.2493709826,1814925.0462402813,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0000986531,SELECTION VALEURS MOYENNES,938.76,2026-03-19T00:00:00,P,1046,1,402464.80000000005,402464.79999999993,981942.96,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,402464.79999999993,579478.16,-0.0189226095922859,963362.0367260263,560897.2367260264,CAPREVAL AG,batch,0,560897.2367260264,963362.0367260263,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007057674,FEDERIS ISR ACTIONS US MM,4351.99,2026-03-19T00:00:00,P,71,1,220418.58000000002,220418.58000000002,308991.29,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,220418.58000000002,88572.70999999996,0,308991.29,88572.70999999996,CAPREVAL AG,batch,0,88572.70999999996,308991.29,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-03-23T00:00:00,,
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,CMAV,CMA2C,FR001400IAX4,MH AMUNDI ACTIONS ASIE PACIFIQUE,1311.85,2026-03-19T00:00:00,P,2100,1000,2320038,2320038,2754885,PP,FC_Act_AsPac,PP_FAC_Act_Asie,FR41,10230506,PP_FAC_Act_Asie,2320038,434847,-0.00911425247081165,2729776.282581948,409738.2825819482,CMAV AG,Hors mandat CMAV AG,0,409738.2825819482,2729776.282581948,PP_FAC_Act,CMAV HM ACT COTE,2026-03-23T00:00:00,MSDEPN,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,CMAV,CMA2C,FR001400IAV8,MH AMUNDI ACTIONS USA C,1490.79,2026-03-19T00:00:00,P,3113,1000,3394775.8999999994,3394775.9,4640829.27,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,10184109,PP_FAC_Act_US_LC,3394775.9,1246053.3699999996,0,4640829.27,1246053.3699999996,CMAV AG,Hors mandat CMAV AG,0,1246053.3699999996,4640829.27,PP_FAC_Act,CMAV HM ACT COTE,2026-03-23T00:00:00,,
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,CMAV,CMA2C,FR001400IAW6,MH AMUNDI ACTIONS EURO C,1414.07,2026-03-19T00:00:00,P,5155,1000,5683610.9399999995,5683610.9399999995,7289530.85,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,10184067,PP_FAC_Act_EUR_LC,5683610.9399999995,1605919.9100000001,-0.0189226095922859,7151593.903614526,1467982.9636145262,CMAV AG,Hors mandat CMAV AG,0,1467982.9636145262,7151593.903614526,PP_FAC_Act,CMAV HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
