PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0010831693,Ostrum SRI Cash Plus I C EUR,111196.26,2026-01-18T00:00:00,P,298.6,1,33203203.24,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,33203203.24,0,0,33203203.24,0,AUXIA AG,Hors mandat AUXIA AG,0,0,33203203.24,PP_Mon_Fonds,AUXIA HM ACT COTE,Monetaire,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4487.68,2026-01-15T00:00:00,P,8994,1,40362193.919999994,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,40362193.919999994,0,0,40362193.919999994,0,AUXIA AG,Hors mandat AUXIA AG,0,0,40362193.919999994,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007045950,FEDERIS ISR EURO M,2489.71,2026-01-15T00:00:00,P,940,1,2340327.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,2340327.4,0,0,2340327.4,0,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,0,2340327.4,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6816.36,2026-01-15T00:00:00,P,80,1,545308.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,545308.8,0,0,545308.8,0,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,0,545308.8,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007074166,LBPAM ACTIONS VALUE EURO,3480.21,2026-01-15T00:00:00,P,360,1,1252875.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,1252875.6,0,0,1252875.6,0,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,0,1252875.6,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4158.62,2026-01-15T00:00:00,P,459,1,1908806.58,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,1908806.58,0,0,1908806.58,0,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,0,1908806.58,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0000986531,SELECTION VALEURS MOYENNES,1006.15,2026-01-15T00:00:00,P,737,1,741532.55,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,741532.55,0,0,741532.55,0,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,0,741532.55,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0010831693,Ostrum SRI Cash Plus I C EUR,111196.26,2026-01-18T00:00:00,P,2,1,222392.52,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,222392.52,0,0,222392.52,0,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,0,222392.52,PP_Mon_Fonds,AUXIA ASS HM ACT COTE,Monetaire,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4487.68,2026-01-15T00:00:00,P,253,1,1135383.04,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,1135383.04,0,0,1135383.04,0,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,0,1135383.04,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007045950,FEDERIS ISR EURO M,2489.71,2026-01-15T00:00:00,P,810,1,2016665.1,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,2016665.1,0,0,2016665.1,0,CAPREVAL AG,batch,0,0,2016665.1,PP_FAC_Act,CAPREVAL HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007057674,FEDERIS ISR ACTIONS US MM,4487.68,2026-01-15T00:00:00,P,71,1,318625.28,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,318625.28,0,0,318625.28,0,CAPREVAL AG,batch,0,0,318625.28,PP_FAC_Act,CAPREVAL HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0000986531,SELECTION VALEURS MOYENNES,1006.15,2026-01-15T00:00:00,P,1046,1,1052432.9,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,1052432.9,0,0,1052432.9,0,CAPREVAL AG,batch,0,0,1052432.9,PP_FAC_Act,CAPREVAL HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0011441583,LBPAM ISR Opti Euro Equity MH,2556.27,2026-01-15T00:00:00,P,206,1,526591.62,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,526591.62,0,0,526591.62,0,CAPREVAL AG,batch,0,0,526591.62,PP_FAC_Act,CAPREVAL HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4158.62,2026-01-15T00:00:00,P,592,1,2461903.04,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,2461903.04,0,0,2461903.04,0,CAPREVAL AG,batch,0,0,2461903.04,PP_FAC_Act,CAPREVAL HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CMAV,CMA2C,FR001400IAV8,MH AMUNDI ACTIONS USA C,1551.47,2026-01-15T00:00:00,P,3113,1000,4829726.11,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,10184109,PP_FAC_Act_US_LC,4829726.11,0,0,4829726.11,0,CMAV AG,Hors mandat CMAV AG,0,0,4829726.11,PP_FAC_Act,CMAV HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CMAV,CMA2C,FR001400IAW6,MH AMUNDI ACTIONS EURO C,1515.44,2026-01-15T00:00:00,P,5155,1000,7812093.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,10184067,PP_FAC_Act_EUR_LC,7812093.2,0,0,7812093.2,0,CMAV AG,Hors mandat CMAV AG,0,0,7812093.2,PP_FAC_Act,CMAV HM ACT COTE,,
