PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,MUTUELLE MH,MMH2C,LU1956164344,BNPP Rspnb US Mlt-Fac Eq I EUR Acc,227.08,2026-01-05T00:00:00,P,20102,1,4038491.8000000007,4038491.8000000003,4564762.16,PP,FC_Act_US,,LU41,11976073,PP_FAC_Act_EUR_LC,4038491.8000000003,526270.3599999999,0,4564762.16,526270.3599999999,MMH AG,Hors mandat MUTUELLE MH AG,0,526270.3599999999,4564762.16,PP_FAC_Act,MHM HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007045950,FEDERIS ISR EURO M,2447.44,2026-01-05T00:00:00,P,24261,1,20164514.1,20164514.1,59377341.839999996,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,20164514.1,39212827.739999995,0,59377341.839999996,39212827.739999995,AUXIA AG,Hors mandat AUXIA AG,0,39212827.739999995,59377341.839999996,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2520.22,2026-01-05T00:00:00,P,7888,1,8412826.24,8412826.24,19879495.36,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11466669.12,0,19879495.36,11466669.12,AUXIA AG,Hors mandat AUXIA AG,0,11466669.12,19879495.36,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,477.68,2026-01-05T00:00:00,P,60537,1,11652333.39,11652333.39,28917314.16,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,17264980.77,0,28917314.16,17264980.77,AUXIA AG,Hors mandat AUXIA AG,0,17264980.77,28917314.16,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6680.7,2026-01-05T00:00:00,P,1306,1,2295229.7,2295229.7,8724994.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,2295229.7,6429764.499999999,0,8724994.2,6429764.499999999,AUXIA AG,Hors mandat AUXIA AG,0,6429764.499999999,8724994.2,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA,AUX2E,LU0396332305,UBS CONVERT GLOBAL-IA3A,265.87,2026-01-05T00:00:00,P,23944,1,5551416.399999999,5551416.399999999,6365991.28,PP,FC_Conv_Monde,PP_FAC_Conv_Global,LU42,5338906,PP_FAC_Conv_Global,5551416.399999999,814574.8800000008,0.00929326750602173,6425152.139906042,873735.7399060428,AUXIA AG,Hors mandat AUXIA AG,0,873735.7399060428,6425152.139906042,PP_FAC_Conv,AUXIA HM ACT COTE,UCBIFX13,2026-01-05T00:00:00
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007079330,LBPAM SELECTION ACTIONS ASIE,5283.41,2026-01-05T00:00:00,P,2379,1,6254703.91,6254703.91,12569232.39,PP,FC_Act_AsPac,PP_FAC_Act_Asie,FR41,4622700,PP_FAC_Act_Asie,6254703.91,6314528.48,0.014276848127374,12748681.411909701,6493977.501909701,AUXIA AG,Hors mandat AUXIA AG,0,6493977.501909701,12748681.411909701,PP_FAC_Act,AUXIA HM ACT COTE,MSDEPN,2026-01-06T00:00:00
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33605.9,2026-01-05T00:00:00,P,186,1,5000211.96,5000211.96,6250697.4,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,5000211.96,1250485.4400000004,0.00104467179259071,6257227.327257801,1257015.367257801,AUXIA AG,Hors mandat AUXIA AG,0,1257015.367257801,6257227.327257801,PP_FAC_Taux,AUXIA HM ACT COTE,HE00,2026-01-06T00:00:00
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,143,2026-01-05T00:00:00,P,10886,1,1080979.8,1080979.8,1556698,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,475718.19999999995,0.0119178405603211,1575250.4785645707,494270.6785645706,AUXIA AG,Hors mandat AUXIA AG,0,494270.6785645706,1575250.4785645707,PP_FAC_Act,AUXIA HM ACT COTE,MSDEEEMN,2026-01-06T00:00:00
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3504.29,2026-01-05T00:00:00,P,2700,1,3878112,3878112,9461583,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,3878112,5583471,0,9461583,5583471,AUXIA AG,Hors mandat AUXIA AG,0,5583471,9461583,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,974.74,2026-01-05T00:00:00,P,22218,1,8865004.540000001,8865004.540000001,21656773.32,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.540000001,12791768.78,0,21656773.32,12791768.78,AUXIA AG,Hors mandat AUXIA AG,0,12791768.78,21656773.32,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA,AUX2E,LU2541301847,EdRF EM Climate Bonds S EUR H,108.22,2026-01-05T00:00:00,P,35239,1,3518261.7600000007,3518261.7600000002,3813564.58,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,3518261.7600000002,295302.81999999983,0.000860815691455774,3816847.3562308443,298585.59623084404,AUXIA AG,Hors mandat AUXIA AG,0,298585.59623084404,3816847.3562308443,PP_FAC_Taux,AUXIA HM ACT COTE,LG20TREH,2026-01-05T00:00:00
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4444.75,2026-01-05T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,39976081.5,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,19545911.189999998,0,39976081.5,19545911.189999998,AUXIA AG,Hors mandat AUXIA AG,0,19545911.189999998,39976081.5,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007045950,FEDERIS ISR EURO M,2447.44,2026-01-05T00:00:00,P,940,1,1058205.1099999999,1058205.1099999999,2300593.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,1058205.1099999999,1242388.4900000002,0,2300593.6,1242388.4900000002,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1242388.4900000002,2300593.6,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6680.7,2026-01-05T00:00:00,P,80,1,354119.48,354119.48,534456,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,354119.48,180336.52000000002,0,534456,180336.52000000002,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,180336.52000000002,534456,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022793,LBPAM ACTIONS EX-EURO-M,5205.08,2026-01-05T00:00:00,P,46,1,128144.68,128144.68,239433.68,PP,FC_Act_exEUR,PP_FAC_Act_ExEUR,FR41,5873215,PP_FAC_Act_ExEUR,128144.68,111289,0.00978807885867309,241777.27574126227,113632.59574126228,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,113632.59574126228,241777.27574126227,PP_FAC_Act,AUXIA ASS HM ACT COTE,M7EUM,2026-01-06T00:00:00
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007074166,LBPAM ACTIONS VALUE EURO,3459.76,2026-01-05T00:00:00,P,360,1,482660.91,482660.91,1245513.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,482660.91,762852.6900000002,0,1245513.6,762852.6900000002,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,762852.6900000002,1245513.6,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4092.92,2026-01-05T00:00:00,P,459,1,824285.82,824285.82,1878650.28,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,824285.82,1054364.46,0,1878650.28,1054364.46,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1054364.46,1878650.2799999998,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007079330,LBPAM SELECTION ACTIONS ASIE,5283.41,2026-01-05T00:00:00,P,21,1,67940.23,67940.23,110951.61,PP,FC_Act_AsPac,PP_FAC_Act_Asie,FR41,4622700,PP_FAC_Act_Asie,67940.23,43011.380000000005,0.014276848127374,112535.64928545764,44595.41928545764,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,44595.41928545764,112535.64928545764,PP_FAC_Act,AUXIA ASS HM ACT COTE,MSDEPN,2026-01-06T00:00:00
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33605.9,2026-01-05T00:00:00,P,10,1,302123.6,302123.6,336059,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,302123.6,33935.40000000002,0.00104467179259071,336410.07135794626,34286.471357946284,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,34286.471357946284,336410.07135794626,PP_FAC_Taux,AUXIA ASS HM ACT COTE,HE00,2026-01-06T00:00:00
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0011758044,LBPAM PRO ALTO M,1132.52,2026-01-05T00:00:00,P,1153,1,1152877.74,1152877.74,1305795.56,PP,FC_Div,PP_FAC_Taux_Corp_IG,FR42,5873495,PP_FAC_Taux_Corp_IG,1152877.74,152917.82000000007,0.00129063367627172,1307480.8637240622,154603.12372406223,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,154603.12372406223,1307480.8637240622,PP_FAC_Taux,AUXIA ASS HM ACT COTE,LECPTREU,2026-01-05T00:00:00
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0000986531,SELECTION VALEURS MOYENNES,974.74,2026-01-05T00:00:00,P,737,1,291444.63,291444.63,718383.38,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,291444.63,426938.75,0,718383.38,426938.75,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,426938.75,718383.38,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4444.75,2026-01-05T00:00:00,P,253,1,678111.4199999999,678111.4199999999,1124521.75,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,678111.4199999999,446410.3300000001,0,1124521.75,446410.3300000001,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,446410.3300000001,1124521.75,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR001400GS55,LBPAM ISR CONVS MONDE-MH,12381.87,2026-01-05T00:00:00,P,397,1,4136179.95,4136179.95,4915602.39,PP,FC_Conv_Monde,PP_FAC_Conv_Global,FR42,10056894,PP_FAC_Conv_Global,4136179.95,779422.4399999995,0.00929326750602173,4961284.39796351,825104.4479635097,CAPREVAL AG,batch,0,825104.4479635097,4961284.39796351,PP_FAC_Conv,CAPREVAL HM ACT COTE,UCBIFX13,2026-01-05T00:00:00
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,CAPREVAL,CAP2B,LU2541301847,EdRF EM Climate Bonds S EUR H,108.22,2026-01-05T00:00:00,P,1825,1,182208,182208,197501.5,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,182208,15293.5,0.000860815691455774,197671.51239028605,15463.51239028605,CAPREVAL AG,batch,0,15463.51239028605,197671.51239028605,PP_FAC_Taux,CAPREVAL HM ACT COTE,LG20TREH,2026-01-05T00:00:00
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007045950,FEDERIS ISR EURO M,2447.44,2026-01-05T00:00:00,P,810,1,684647.8,684647.8,1982426.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,684647.8,1297778.5999999999,0,1982426.4,1297778.5999999999,CAPREVAL AG,batch,0,1297778.5999999999,1982426.4,PP_FAC_Act,CAPREVAL HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007079330,LBPAM SELECTION ACTIONS ASIE,5283.41,2026-01-05T00:00:00,P,18,1,39697.200000000004,39697.200000000004,95101.38,PP,FC_Act_AsPac,PP_FAC_Act_Asie,FR41,4622700,PP_FAC_Act_Asie,39697.200000000004,55404.18,0.014276848127374,96459.1279589637,56761.92795896369,CAPREVAL AG,batch,0,56761.92795896369,96459.1279589637,PP_FAC_Act,CAPREVAL HM ACT COTE,MSDEPN,2026-01-06T00:00:00
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007057674,FEDERIS ISR ACTIONS US MM,4444.75,2026-01-05T00:00:00,P,71,1,220418.58000000002,220418.58000000002,315577.25,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,220418.58000000002,95158.66999999998,0,315577.25,95158.66999999998,CAPREVAL AG,batch,0,95158.66999999998,315577.25,PP_FAC_Act,CAPREVAL HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0000986531,SELECTION VALEURS MOYENNES,974.74,2026-01-05T00:00:00,P,1046,1,402464.80000000005,402464.8,1019578.04,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,402464.8,617113.24,0,1019578.04,617113.24,CAPREVAL AG,batch,0,617113.24,1019578.04,PP_FAC_Act,CAPREVAL HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-07T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33605.9,2026-01-05T00:00:00,P,68,1,1990568.76,1990568.76,2285201.2,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,1990568.76,294632.4400000002,0.00104467179259071,2287588.4852340347,297019.7252340347,CAPREVAL AG,batch,0,297019.7252340347,2287588.4852340347,PP_FAC_Taux,CAPREVAL HM ACT COTE,HE00,2026-01-06T00:00:00
