PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name]
EXPORT_PRMP_ADP,2026-02-04T00:00:00,Groupe MH,MHRS,MRS2C,FR0000986531,SELECTION VALEURS MOYENNES,999.41,2026-02-02T00:00:00,P,6580,1,1417462,1417462,6576117.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,1417462,5158655.8,M7EM,-0.000709350287680902,6571453.028946746,5153991.028946746,MHRS AG,Hors mandat MHRS AG,0,5153991.028946746,6571453.028946746,2026-02-03T00:00:00,PP_FAC_Act,MHRS HM ACTIFS COTE
EXPORT_PRMP_ADP,2026-02-04T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007475975,MH Lazard action euro LC,524.77,2026-02-02T00:00:00,P,114872.698,1,59527032.10360002,59527032.10360001,60281745.730000004,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,59527032.10360001,754713.6263999939,M7EM,-0.000709350287680902,60238984.856324516,711952.752724506,AUXIA AG,Hors mandat AUXIA AG,0,711952.752724506,60238984.856324516,2026-02-03T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-04T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2542.78,2026-02-02T00:00:00,P,7888,1,8412826.24,8412826.24,20057448.64,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11644622.4,M7EM,-0.000709350287680902,20043220.88303707,11630394.643037071,AUXIA AG,Hors mandat AUXIA AG,0,11630394.643037071,20043220.88303707,2026-02-03T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-04T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,471.67,2026-02-02T00:00:00,P,60537,1,11652333.39,11652333.39,28553486.79,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,16901153.4,M7EM,-0.000709350287680902,28533232.36593122,16880898.97593122,AUXIA AG,Hors mandat AUXIA AG,0,16880898.97593122,28533232.36593122,2026-02-03T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-04T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6695.31,2026-02-02T00:00:00,P,840,1,1476258,1476258,5624060.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,4147802.4000000004,M7EM,-0.000709350287680902,5620070.971137325,4143812.9711373253,AUXIA AG,Hors mandat AUXIA AG,0,4143812.9711373253,5620070.971137325,2026-02-03T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-04T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,999.41,2026-02-02T00:00:00,P,22218,1,8865004.54,8865004.54,22204891.38,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.54,13339886.84,M7EM,-0.000709350287680902,22189140.333911672,13324135.793911673,AUXIA AG,Hors mandat AUXIA AG,0,13324135.793911673,22189140.333911672,2026-02-03T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-04T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4434.93,2026-02-02T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,39887760.42,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,19457590.11,,0,39887760.42,19457590.11,AUXIA AG,Hors mandat AUXIA AG,0,19457590.11,39887760.42,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-04T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,146.44,2026-02-02T00:00:00,P,10886,1,1080979.8,1080979.8,1594145.84,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,513166.04000000004,MSDEEEMN,0.0263464203233256,1636145.8763573212,555166.0763573211,AUXIA AG,Hors mandat AUXIA AG,0,555166.0763573211,1636145.8763573212,2026-02-03T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-04T00:00:00,Groupe MH,AUXIA,AUX2E,LU2541301847,EdRF EM Climate Bonds S EUR H,108.47,2026-02-02T00:00:00,P,35239,1,3518261.7600000007,3518261.7600000002,3822374.33,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,3518261.7600000002,304112.56999999983,,0,3822374.33,304112.56999999983,AUXIA AG,Hors mandat AUXIA AG,0,304112.56999999983,3822374.33,,PP_FAC_Taux,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-04T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33804.17,2026-02-02T00:00:00,P,186,1,5000211.96,5000211.96,6287575.62,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,5000211.96,1287363.6600000001,HE00,0.00111550116609072,6294589.417935994,1294377.4579359945,AUXIA AG,Hors mandat AUXIA AG,0,1294377.4579359945,6294589.417935994,2026-02-03T00:00:00,PP_FAC_Taux,AUXIA HM ACT COTE
