PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Ref Unik Asset]
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6149.2,2026-03-23T00:00:00,P,80,1,354119.48,354119.48,491936,PP,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,354119.48,137816.52000000002,M7EM,0.00258550431385779,493207.902650142,139088.422650142,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,139088.422650142,493207.902650142,2026-03-24T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007475975,MH Lazard action euro LC,476.58,2026-03-23T00:00:00,P,4450.77846,1,1058205.1096047643,1058205.1096047643,2121152,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,1058205.1096047643,1062946.8903952357,M7EM,0.00258550431385779,2126636.247646348,1068431.1380415838,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1068431.1380415838,2126636.247646348,2026-03-24T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007074166,LBPAM ACTIONS VALUE EURO,3243.58,2026-03-23T00:00:00,P,360,1,482660.91,482660.91,1167688.8,PP,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,482660.91,685027.8900000001,M7EM,0.00258550431385779,1170707.8644296436,688046.9544296437,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,688046.9544296437,1170707.8644296436,2026-03-24T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4298.97,2026-03-23T00:00:00,P,253,1,678111.4199999999,678111.4199999999,1087639.41,PP,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,678111.4199999999,409527.99,,0,1087639.41,409527.99,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,409527.99,1087639.41,,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-25T00:00:00,FC_Act_US
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007475975,MH Lazard action euro LC,476.58,2026-03-23T00:00:00,P,3835.24527,1,684647.7968692987,684647.7968692987,1827801.19,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,684647.7968692987,1143153.3931307013,M7EM,0.00258550431385779,1832526.9778616196,1147879.1809923209,CAPREVAL AG,batch,0,1147879.1809923209,1832526.9778616196,2026-03-24T00:00:00,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0000986531,SELECTION VALEURS MOYENNES,930.62,2026-03-23T00:00:00,P,1046,1,402464.80000000005,402464.79999999993,973428.52,PP,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,402464.79999999993,570963.7200000001,M7EM,0.00258550431385779,975945.3236376923,573480.5236376923,CAPREVAL AG,batch,0,573480.5236376923,975945.3236376923,2026-03-24T00:00:00,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007057674,FEDERIS ISR ACTIONS US MM,4298.97,2026-03-23T00:00:00,P,71,1,220418.58000000002,220418.58000000002,305226.87,PP,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,220418.58000000002,84808.28999999998,,0,305226.87,84808.28999999998,CAPREVAL AG,batch,0,84808.28999999998,305226.87,,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-03-25T00:00:00,FC_Act_US
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,CMAV,CMA2C,FR001400IAX4,MH AMUNDI ACTIONS ASIE PACIFIQUE,1258.46,2026-03-23T00:00:00,P,2100,1000,2320038,2320038,2642766,PP,PP_FAC_Act_Asie,FR41,10230506,PP_FAC_Act_Asie,2320038,322728,MSDEPN,0.0144498942662356,2680953.689270403,360915.68927040277,CMAV AG,Hors mandat CMAV AG,0,360915.68927040277,2680953.689270403,2026-03-24T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-25T00:00:00,FC_Act_AsPac
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,CMAV,CMA2C,FR001400IAV8,MH AMUNDI ACTIONS USA C,1475.99,2026-03-23T00:00:00,P,3113,1000,3394775.8999999994,3394775.9,4594756.87,PP,PP_FAC_Act_US_LC,FR41,10184109,PP_FAC_Act_US_LC,3394775.9,1199980.9700000002,,0,4594756.87,1199980.9700000002,CMAV AG,Hors mandat CMAV AG,0,1199980.9700000002,4594756.87,,PP_FAC_Act,CMAV HM ACT COTE,2026-03-25T00:00:00,FC_Act_US
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,CMAV,CMA2C,FR001400IAW6,MH AMUNDI ACTIONS EURO C,1405.49,2026-03-23T00:00:00,P,5155,1000,5683610.9399999995,5683610.9399999995,7245300.95,PP,PP_FAC_Act_EUR_LC,FR41,10184067,PP_FAC_Act_EUR_LC,5683610.9399999995,1561690.0100000007,M7EM,0.00258550431385779,7264033.706861423,1580422.7668614239,CMAV AG,Hors mandat CMAV AG,0,1580422.7668614239,7264033.706861423,2026-03-24T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
