PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2]
EXPORT_PRMP_ADP,2026-03-03T00:00:00,Groupe MH,MHP,MHP2D,FR0011049709,LBPAM SELECTION ACTIONS EMERGENTS,2192.16,2026-02-27T00:00:00,P,57,1,53800.59,53800.590000000004,124953.12,PP,FC_Act_Emerg,PP_FAC_Act_Eme,FR41,4622717,PP_FAC_Act_Eme,53800.590000000004,71152.53,MSDEEEMN,-0.00473050684001846,124362.02841115836,70561.43841115836,MHP AG,Hors mandat MHP AG,0,70561.43841115836,124362.02841115836,2026-03-02T00:00:00,PP_FAC_Act,MHP EDIT HM ACT COTE,2026-03-03T00:00:00
EXPORT_PRMP_ADP,2026-03-03T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007475975,MH Lazard action euro LC,527.56,2026-02-27T00:00:00,P,114872.6982,1,59527032.10360002,59527032.10360001,60602240.66,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,59527032.10360001,1075208.5563999861,M7EM,-0.0211081794195251,59323037.690923475,-203994.41267653555,AUXIA AG,Hors mandat AUXIA AG,0,-203994.41267653555,59323037.690923475,2026-03-02T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-03T00:00:00
EXPORT_PRMP_ADP,2026-03-03T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2602.87,2026-02-27T00:00:00,P,7888,1,8412826.24,8412826.24,20531438.560000002,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,12118612.320000002,M7EM,-0.0211081794195251,20098057.271134567,11685231.031134566,AUXIA AG,Hors mandat AUXIA AG,0,11685231.031134566,20098057.271134567,2026-03-02T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-03T00:00:00
EXPORT_PRMP_ADP,2026-03-03T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,492.25,2026-02-27T00:00:00,P,60537,1,11652333.39,11652333.39,29799338.25,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,18147004.86,M7EM,-0.0211081794195251,29170328.47163588,17517995.08163588,AUXIA AG,Hors mandat AUXIA AG,0,17517995.08163588,29170328.47163588,2026-03-02T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-03T00:00:00
EXPORT_PRMP_ADP,2026-03-03T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6839.87,2026-02-27T00:00:00,P,840,1,1476258,1476258,5745490.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,4269232.8,M7EM,-0.0211081794195251,5624213.949340369,4147955.9493403686,AUXIA AG,Hors mandat AUXIA AG,0,4147955.9493403686,5624213.949340369,2026-03-02T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-03T00:00:00
EXPORT_PRMP_ADP,2026-03-03T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,1032.48,2026-02-27T00:00:00,P,22218,1,8865004.54,8865004.54,22939640.639999997,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.54,14074636.099999998,M7EM,-0.0211081794195251,22455426.589551445,13590422.049551446,AUXIA AG,Hors mandat AUXIA AG,0,13590422.049551446,22455426.589551445,2026-03-02T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-03T00:00:00
EXPORT_PRMP_ADP,2026-03-03T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4424.87,2026-02-27T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,39797280.78,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,19367110.47,,0,39797280.78,19367110.47,AUXIA AG,Hors mandat AUXIA AG,0,19367110.47,39797280.78,,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-03T00:00:00
EXPORT_PRMP_ADP,2026-03-03T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,156.45,2026-02-27T00:00:00,P,10886,1,1080979.8,1080979.8,1703114.7,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,622134.8999999999,MSDEEEMN,-0.00473050684001846,1695058.104262314,614078.304262314,AUXIA AG,Hors mandat AUXIA AG,0,614078.304262314,1695058.104262314,2026-03-02T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-03T00:00:00
EXPORT_PRMP_ADP,2026-03-03T00:00:00,Groupe MH,AUXIA,AUX2E,LU2541301847,EdRF EM Climate Bonds S EUR H,109.16,2026-02-27T00:00:00,P,35239,1,3518261.7600000007,3518261.7600000002,3846689.24,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,3518261.7600000002,328427.48,,0,3846689.24,328427.48,AUXIA AG,Hors mandat AUXIA AG,0,328427.48,3846689.24,,PP_FAC_Taux,AUXIA HM ACT COTE,2026-03-03T00:00:00
EXPORT_PRMP_ADP,2026-03-03T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33991.23,2026-02-27T00:00:00,P,186,1,5000211.96,5000211.96,6322368.78,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,5000211.96,1322156.8200000003,HE00,-0.00349624789834414,6300264.211440369,1300052.2514403686,AUXIA AG,Hors mandat AUXIA AG,0,1300052.2514403686,6300264.211440369,2026-03-02T00:00:00,PP_FAC_Taux,AUXIA HM ACT COTE,2026-03-03T00:00:00
