threshold,prec_0,rec_0,f1_0,prec_1,rec_1,f1_1,cost,cost_FP,cost_FN
0.1,0.9672131147540983,0.10986964618249534,0.19732441471571907,0.8463022508038586,0.9992406985573272,0.9164345403899722,118235035974.22,118118731962.2,116304012.02000001
0.15000000000000002,0.9722222222222222,0.1303538175046555,0.22988505747126436,0.8493062278154243,0.9992406985573272,0.9181929181929182,116943009138.52002,116826705126.50002,116304012.02000001
0.2,0.9565217391304348,0.16387337057728119,0.27980922098569155,0.8541734329327704,0.9984813971146546,0.9207071591107999,116162332028.4,116037413578.9,124918449.50000001
0.25,0.9615384615384616,0.186219739292365,0.31201248049922,0.8575154874470167,0.9984813971146546,0.9226451499736888,114105221227.95001,113980302778.45001,124918449.50000001
0.30000000000000004,0.9469026548672567,0.19925512104283055,0.3292307692307692,0.8593852190974494,0.9977220956719818,0.9234012649332396,113492294333.25998,113358804183.49998,133490149.76000002
0.35,0.9461538461538461,0.22905027932960895,0.36881559220389803,0.8638605721802038,0.9973424449506454,0.9258149779735683,108653371891.81,108519257209.55,134114682.26000002
0.4,0.950354609929078,0.24953445065176907,0.3952802359882006,0.866996699669967,0.9973424449506454,0.9276129943502824,106808130955.80998,106674016273.54999,134114682.26000002
0.45000000000000007,0.910828025477707,0.26629422718808193,0.41210374639769454,0.8692767086927671,0.9946848899012908,0.9277620396600567,105419566875.04002,104996499101.15002,423067773.89
0.5,0.872093023255814,0.27932960893854747,0.4231311706629055,0.8709569856618873,0.9916476841305999,0.9273921533818569,104919873664.18001,104238964652.85,680909011.3300002
0.55,0.8532608695652174,0.29236499068901306,0.435506241331484,0.8727820555741547,0.989749430523918,0.9275929549902152,103942985747.78001,103094107351.50002,848878396.2800001
0.6,0.8407960199004975,0.31471135940409684,0.45799457994579945,0.8760942760942761,0.9878511769172361,0.9286224125624554,101927208006.03,100838584351.25,1088623654.7800002
0.65,0.8214285714285714,0.3426443202979516,0.4835742444152431,0.8802171700033933,0.9848139711465452,0.9295825120946067,100410798342.12,98583181774.04999,1827616568.0700002
0.7000000000000001,0.8181818181818182,0.3687150837988827,0.5083440308087291,0.8842608398770911,0.9832953682611997,0.9311522559769908,97717354492.72,95742897685.3,1974456807.4199996
0.75,0.8161764705882353,0.4134078212290503,0.5488257107540173,0.8913418420144877,0.9810174639331815,0.9340321706126875,94460535175.95,91791236181.4,2669298994.55
0.8,0.8169491525423729,0.44878957169459965,0.5793269230769231,0.8970792767732962,0.979498861047836,0.9364791288566243,89159630530.53001,86011698251.45001,3147932279.080001
0.85,0.8024691358024691,0.48417132216014896,0.6039488966318235,0.9027046013347383,0.9757023538344722,0.9377850757161103,82971241356.85,79426995763.8,3544245593.05
0.9,0.7989130434782609,0.547486033519553,0.6497237569060773,0.9133071708883339,0.9719058466211086,0.9416957881184477,73630295291.84,68935911574.09999,4694383717.740001
