threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn
0.65,0.772020725388601,0.755701217619567,0.7396514161220044,0.9077540106951871,0.8151260504201681,0.5447621910787683,364,239,69,679,0.804245262103032,0.7783921850563162,0.18551789998119708,290211357.6345952,261874552.3559764,28336805.278618813,239,69,214812.25583611784,1095709.4240835833,43920.55234070343
0.6,0.7779422649888971,0.7600843820115111,0.7388059701492538,0.9264705882352942,0.8220640569395018,0.561277043040672,358,245,55,693,0.804245262103032,0.7783921850563162,0.18551789998119708,290389186.5785326,263705764.6074135,26683421.97111906,245,55,214943.88347781834,1076350.059622096,51885.35979999932
0.7,0.7794226498889711,0.7659219499649701,0.754524886877828,0.8917112299465241,0.8174019607843137,0.5559158602417206,386,217,81,667,0.804245262103032,0.7783921850563162,0.18551789998119708,296375602.4688781,248175271.3920844,48200331.076793715,217,81,219374.98332263366,1143664.845124813,63640.12154784886
0.55,0.774981495188749,0.7558032032351611,0.7327044025157232,0.9344919786096256,0.8213866039952996,0.558310747944319,348,255,49,699,0.804245262103032,0.7783921850563162,0.18551789998119708,296534705.7194422,271066809.2759189,25467896.443523273,255,49,219492.75034747756,1063007.095199682,55585.68900435635
0.5,0.771280532938564,0.7500498842684971,0.7242083758937692,0.9478609625668449,0.8210770121598147,0.5565488538427079,333,270,39,709,0.804245262103032,0.7783921850563162,0.18551789998119708,303650018.90877163,286208420.61111695,17441598.29765468,270,39,224759.45144986798,1060031.1874485812,47828.60023679453
0.45,0.7601776461880089,0.7368083823307704,0.7111553784860558,0.9545454545454546,0.815068493150685,0.5388959602114851,313,290,34,714,0.804245262103032,0.7783921850563162,0.18551789998119708,317422888.78169364,299998879.81732243,17424008.96437121,290,34,234954.02574514702,1034478.8959218014,54806.89100315069
0.4,0.7490747594374537,0.7232454039960625,0.6979670861568248,0.963903743315508,0.8096574957888827,0.5231885810537898,291,312,27,721,0.804245262103032,0.7783921850563162,0.18551789998119708,322263332.74097335,312733400.91151464,9529931.829458712,312,27,238536.88581863313,1002350.6439471623,37747.83324640658
0.35,0.7387120651369357,0.7106723512561968,0.6864966949952785,0.9719251336898396,0.8046485888212507,0.5088708659562601,271,332,21,727,0.804245262103032,0.7783921850563162,0.18551789998119708,332916990.7493713,326871675.9053321,6045314.844039185,332,21,246422.6430417256,984553.2406787111,30786.876348366583
0.3,0.7283493708364175,0.6984207749133122,0.6762257169287696,0.9772727272727273,0.7993439037725533,0.4933235669768216,253,350,17,731,0.804245262103032,0.7783921850563162,0.18551789998119708,349754577.013843,343801625.18089885,5952951.832944146,350,17,258885.69727153442,982290.3576597108,37449.79504112072
0.25,0.7179866765358993,0.6863299367689184,0.6666666666666666,0.9812834224598931,0.7939426717144402,0.47704398410814514,236,367,14,734,0.804245262103032,0.7783921850563162,0.18551789998119708,358916087.4229332,357266888.05231,1649199.3706232102,367,14,265666.97810727847,973479.2589981199,12598.27612136151
