feature,importance
PMVL[Quote],7.7377660655177305
PMVL[Ref Unik Codes Completed],7.354151995407916
PMVL[PRMP PMVL],6.77824974278188
PMVL[CIC],6.301675862915445
PMVL[PRMP VNC],5.8995274208979325
PMVL[Inst Num],5.880586820995288
PMVL[Parametres_Indices.TICKER],5.488668188907136
PMVL[CANTON],5.4548811059620235
PMVL[PMVL Estimé],5.453689088359534
PMVL[Ref Unik Light],5.415544346812541
PMVL[PFMIndice.Perf J / J-1],4.665170563143368
PMVL[3A],4.526130166402535
PMVL[PMVL Estimée + PRATIC],3.767021309968707
PMVL[VNC Agrege dirty (ptf cur.)],3.7555153601413718
PMVL[Ptf name],3.4263183895579115
PMVL[MtM Estimé],3.3738440907260996
position_group,3.1517258355918365
PMVL[Ref Unik Asset],3.0940032875393
PMVL[Quantity],2.6894098147135304
PMVL[MtM Estimée + PRATIC],2.603696206834603
PMVL[PRMP MtM],1.7784802037732625
PMVL[Inst. Nominal],1.143060963602131
PMVL[PRATIC_PMVLEstimée],0.21093154610482065
PMVL[Purch. Val. (clean) (ptf cur.)],0.039916633712065996
PMVL[Quote Mode],0.006996867802379523
PMVL[RefUnik Position],0.003038121828563735
PMVL[GROUPE],0.0
