threshold,prec_0,rec_0,f1_0,prec_1,rec_1,f1_1
0.1,0.9279279279279279,0.19180633147113593,0.31790123456790126,0.8581699346405228,0.996962794229309,0.9223744292237442
0.15000000000000002,0.7947368421052632,0.2811918063314711,0.4154057771664374,0.8705132505870513,0.9851936218678815,0.9243098842386465
0.2,0.777292576419214,0.33147113594040967,0.46475195822454307,0.8779741672331747,0.9806378132118451,0.9264705882352942
0.25,0.7822878228782287,0.3947858472998138,0.5247524752475248,0.8879310344827587,0.9776006074411542,0.9306107697867727
0.30000000000000004,0.7603833865814696,0.44320297951582865,0.56,0.8953813855843247,0.9715261958997722,0.9319009468317553
0.35,0.7573099415204678,0.4823091247672253,0.5893060295790671,0.9017320607988688,0.9684889901290813,0.9339190920739521
0.4,0.7533875338753387,0.5176908752327747,0.6136865342163356,0.9075660242683797,0.9654517843583903,0.9356144223693893
0.45000000000000007,0.7538071065989848,0.553072625698324,0.6380236305048335,0.9135758012243428,0.9631738800303721,0.9377194603585289
0.5,0.7382075471698113,0.5828677839851024,0.6514047866805411,0.9184564979978158,0.9578587699316629,0.9377439137706746
0.55,0.7191489361702128,0.6294227188081937,0.6713008937437934,0.9263235838578304,0.9498861047835991,0.9379568884723524
0.6,0.6854368932038835,0.6573556797020484,0.6711026615969582,0.9307228915662651,0.9384965831435079,0.9345935727788279
0.65,0.6467486818980668,0.6852886405959032,0.6654611211573237,0.9350499615680246,0.9236902050113895,0.9293353705118411
0.7000000000000001,0.5966257668711656,0.7243947858472998,0.6543313708999159,0.9412465263993648,0.9001518602885346,0.9202406365224142
0.75,0.531496062992126,0.7541899441340782,0.6235565819861432,0.9452054794520548,0.8644646924829157,0.9030339083878643
0.8,0.4671857619577308,0.7821229050279329,0.584958217270195,0.9485035211267606,0.8181473044798785,0.8785161027313494
0.85,0.4070631970260223,0.8156424581005587,0.5430874147551147,0.952744630071599,0.7577828397873956,0.8441530979065341
0.9,0.35320754716981134,0.8715083798882681,0.5026852846401718,0.9626218851570965,0.6746393318147305,0.7933035714285714
