iter	Passed	Remaining
399	37538	5255
400	37631	5161
401	37735	5068
402	37836	4975
403	37942	4883
404	38057	4792
405	38155	4698
406	38256	4605
407	38356	4512
408	38460	4419
409	38576	4328
410	38681	4235
