iter	Logloss
132	0.2249554226
133	0.2245808462
134	0.2243968944
135	0.2241229783
136	0.2240047746
137	0.2235782831
138	0.2234888632
139	0.2232320549
140	0.2230851432
141	0.2227567659
142	0.2221776182
143	0.2216719537
144	0.221411343
145	0.2209250134
146	0.2204955032
147	0.2202416834
148	0.2198254282
149	0.2192668048
150	0.2188157735
151	0.2182504168
152	0.217992316
153	0.2175376982
154	0.2174368508
155	0.2172628042
156	0.2169140146
157	0.2164851461
158	0.2161160951
159	0.215695589
160	0.2153717022
161	0.2151000658
162	0.2147923334
163	0.2146544883
164	0.2142464893
165	0.2139856434
166	0.213806938
167	0.2134320212
168	0.2131189904
169	0.2128292263
170	0.2126417359
171	0.212322261
172	0.2119990925
173	0.2117792958
174	0.2116310904
175	0.2114932854
176	0.2112437378
177	0.2109254612
178	0.2107652388
179	0.2105095942
180	0.2101892391
181	0.2099408692
182	0.2096143734
183	0.2092415438
184	0.2089541924
185	0.2087282982
186	0.2084744135
187	0.2082830558
188	0.2079996076
189	0.2076939189
190	0.2076032835
191	0.2073425709
192	0.2071398663
193	0.2069389503
194	0.2066523628
195	0.2063506947
196	0.2060831592
197	0.2060068549
198	0.2057129837
199	0.2053841218
200	0.2050550377
201	0.2049172575
202	0.2047590667
203	0.2044078232
204	0.2040804165
205	0.2038318446
206	0.203563939
207	0.2033402606
208	0.2029974736
209	0.2027929707
210	0.2025765989
211	0.2023885911
212	0.2021797994
213	0.2018697088
214	0.2016060642
215	0.2013747776
216	0.2012294029
217	0.200932546
218	0.200809851
219	0.2005013674
220	0.2003151643
221	0.2000977704
222	0.1999370252
223	0.1998563027
224	0.1995483274
225	0.1991111465
226	0.1990495175
227	0.1987823354
228	0.1984616499
229	0.1981628793
230	0.1980536389
231	0.1979889241
232	0.1977811946
233	0.1975829512
234	0.1973080622
235	0.1971999222
236	0.19699343
237	0.1967769423
238	0.1965370495
239	0.1963403548
240	0.1961317916
241	0.195881367
242	0.1955385996
243	0.195453036
244	0.1953099597
245	0.1952563707
246	0.1950403186
247	0.1948950885
248	0.1947128222
249	0.1945291571
250	0.194287132
251	0.1941387258
252	0.1940359992
253	0.1938898419
254	0.1937141672
255	0.1935459793
256	0.193342632
257	0.1930898642
258	0.192731351
259	0.1926228882
260	0.1925208828
261	0.1921477409
262	0.1919960785
263	0.1918652561
264	0.1914293612
265	0.1910982722
266	0.1910290632
267	0.1908658399
268	0.190730833
269	0.1906586847
270	0.1904890992
271	0.1902931119
272	0.1901717134
273	0.1899490507
274	0.1897287177
275	0.1896472339
276	0.1892986044
277	0.1891832335
278	0.1890697775
279	0.1889008421
280	0.1888007441
281	0.1886165829
282	0.1883990648
283	0.188284945
284	0.1880261138
285	0.1877800578
286	0.187506252
287	0.187389542
288	0.1870996153
289	0.1869228567
290	0.1866777446
291	0.1865371885
292	0.1862616007
293	0.1861390115
294	0.1857805941
295	0.1855823283
296	0.1854864732
297	0.1853390245
298	0.1851643173
299	0.1849623704
300	0.184857373
301	0.1847762466
302	0.1845457472
303	0.1843917704
304	0.1842865254
305	0.184193342
306	0.1839185674
307	0.1837184538
308	0.1835234848
309	0.1834332225
310	0.183307371
311	0.1831009424
312	0.1829730472
313	0.1828713648
314	0.1827155997
315	0.1826408499
316	0.1824962231
317	0.1823249932
318	0.1821676786
319	0.1820480598
320	0.1816340427
321	0.1815039786
322	0.1812723518
323	0.1809968154
324	0.1808975999
325	0.1808093418
326	0.180587325
327	0.1804506913
328	0.1802195454
329	0.1801207171
330	0.1799226615
331	0.1797035125
332	0.1794207193
333	0.1793738456
334	0.1790271699
335	0.1789953087
336	0.1788777269
337	0.1787503953
338	0.178605343
339	0.1784963747
340	0.1783403782
341	0.1783173084
342	0.1782084516
343	0.178108649
344	0.1779774294
345	0.1777955152
346	0.1777538357
347	0.1775865603
348	0.1774252213
349	0.1771826484
350	0.1770708517
351	0.1769354698
352	0.1767341238
353	0.1766749567
354	0.1765754577
355	0.1764134413
356	0.1762666254
357	0.1761793988
358	0.1759503293
359	0.1756305119
360	0.1756012046
361	0.1753331402
362	0.1752531009
363	0.1751357716
364	0.1750379746
365	0.1750089255
366	0.1748176153
367	0.1746378514
368	0.1745301603
369	0.174415684
370	0.1743174351
371	0.1742893075
372	0.1741468947
373	0.1740103805
374	0.1738853403
375	0.1738263663
376	0.1736777514
377	0.1736441806
378	0.1735917235
379	0.1733904199
380	0.1730821071
381	0.1729448044
382	0.172873759
383	0.1726338058
384	0.1725319974
385	0.1724144344
386	0.1722874378
387	0.1721800753
388	0.1721347673
389	0.1719478932
390	0.1718905473
391	0.1717437188
392	0.1715649624
393	0.1712968298
394	0.1712013005
395	0.1711067728
396	0.171031485
397	0.1708857992
398	0.170659204
399	0.170574471
400	0.170507809
401	0.1703612599
402	0.1703158252
403	0.1701676583
404	0.1700051541
405	0.1699424903
406	0.169774885
407	0.1697281174
408	0.1696933694
409	0.1695552923
410	0.169478296
