threshold,prec_0,rec_0,f1_0,prec_1,rec_1,f1_1
0.1,0.8232323232323232,0.30353817504655495,0.4435374149659864,0.874201143625967,0.9867122247532271,0.9270554663813091
0.15000000000000002,0.7915057915057915,0.3817504655493482,0.5150753768844221,0.885989010989011,0.979498861047836,0.9304002884962135
0.2,0.7773972602739726,0.4227188081936685,0.5476477683956574,0.8923237235151095,0.975322703113136,0.9319789588245964
0.25,0.7760252365930599,0.4581005586592179,0.5761124121779859,0.8980378416257884,0.9730447987851177,0.9340379008746356
0.30000000000000004,0.7701149425287356,0.49906890130353815,0.6056497175141243,0.9047113000354233,0.9696279422930904,0.9360454462158695
0.35,0.7540106951871658,0.5251396648044693,0.6190998902305159,0.9088308902395423,0.9650721336370539,0.9361075308414657
0.4,0.7389162561576355,0.5586592178770949,0.6362672322375398,0.9142857142857143,0.9597570235383447,0.9364697166141878
0.45000000000000007,0.7294117647058823,0.5772811918063314,0.6444906444906445,0.9173343044428259,0.9563401670463174,0.9364312267657993
0.5,0.7200902934537246,0.5940409683426443,0.6510204081632653,0.9200879765395894,0.95292331055429,0.9362178291682208
0.55,0.698744769874477,0.6219739292364991,0.6581280788177339,0.9246193835870776,0.9453302961275627,0.9348601464238784
0.6,0.6796875,0.6480446927374302,0.663489037178265,0.9289206468597218,0.9377372817008353,0.9333081428301531
0.65,0.6624087591240876,0.6759776536312849,0.6691244239631337,0.9336637438048037,0.9297646165527714,0.931710100817957
0.7000000000000001,0.6377551020408163,0.6983240223463687,0.6666666666666666,0.9372822299651568,0.9191343963553531,0.9281196089706728
0.75,0.5822021116138764,0.7188081936685289,0.6433333333333333,0.939792663476874,0.8948367501898253,0.9167639050952937
0.8,0.5392809587217043,0.7541899441340782,0.6288819875776398,0.9454545454545454,0.8686408504176157,0.9054214483577364
0.85,0.49474912485414235,0.7895716945996276,0.6083213773314203,0.9511668107173725,0.8356112376613516,0.8896523848019402
0.9,0.42003853564547206,0.8119180633147114,0.5536507936507936,0.9526488513830286,0.7714502657555049,0.8525277952590727
