PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name]
EXPORT_PRMP_ADP,2026-01-20T00:00:00,Groupe MH,MHP,MHP2C,FR001400IAX4,MH AMUNDI ACTIONS ASIE PACIFIQUE,1326.48,2026-01-16T00:00:00,P,25000,1000,25000000,25000000,33162000,PP,FC_Act_AsPac,PP_FAC_Act_Asie,FR41,10230506,PP_FAC_Act_Asie,25000000,8162000,MSDEPN,-0.00452068436895047,33012085.064956862,8012085.0649568625,MHP AG,Hors mandat MHP AG,0,8012085.0649568625,33012085.064956862,2026-01-19T00:00:00,PP_FAC_Act,MHP HM ACT COTE
EXPORT_PRMP_ADP,2026-01-20T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007045950,FEDERIS ISR EURO M,2487.29,2026-01-16T00:00:00,P,24261,1,20164514.099999998,20164514.099999998,60344142.69,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,20164514.099999998,40179628.59,,0,60344142.69,40179628.59,AUXIA AG,Hors mandat AUXIA AG,0,40179628.59,60344142.69,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-20T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2551.38,2026-01-16T00:00:00,P,7888,1,8412826.24,8412826.24,20125285.439999998,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11712459.199999997,,0,20125285.439999998,11712459.199999997,AUXIA AG,Hors mandat AUXIA AG,0,11712459.199999997,20125285.439999998,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-20T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,475.11,2026-01-16T00:00:00,P,60537,1,11652333.39,11652333.39,28761734.07,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,17109400.68,,0,28761734.07,17109400.68,AUXIA AG,Hors mandat AUXIA AG,0,17109400.68,28761734.07,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-20T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6814.94,2026-01-16T00:00:00,P,840,1,1476258,1476258,5724549.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,4248291.6,,0,5724549.6,4248291.6,AUXIA AG,Hors mandat AUXIA AG,0,4248291.6,5724549.6,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-20T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,147.29,2026-01-16T00:00:00,P,10886,1,1080979.8,1080979.8,1603398.94,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,522419.1399999999,MSDEEEMN,-0.00276159359030013,1598971.003764602,517991.20376460184,AUXIA AG,Hors mandat AUXIA AG,0,517991.20376460184,1598971.003764602,2026-01-19T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-20T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3551.35,2026-01-16T00:00:00,P,2700,1,3878112,3878112,9588645,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,3878112,5710533,,0,9588645,5710533,AUXIA AG,Hors mandat AUXIA AG,0,5710533,9588645,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-20T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,1006.69,2026-01-16T00:00:00,P,22218,1,8865004.54,8865004.54,22366638.42,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.54,13501633.880000003,,0,22366638.42,13501633.880000003,AUXIA AG,Hors mandat AUXIA AG,0,13501633.880000003,22366638.42,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-20T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4500.43,2026-01-16T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,40476867.419999994,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,20046697.109999992,,0,40476867.419999994,20046697.109999992,AUXIA AG,Hors mandat AUXIA AG,0,20046697.109999992,40476867.419999994,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-20T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007045950,FEDERIS ISR EURO M,2487.29,2026-01-16T00:00:00,P,940,1,1058205.11,1058205.11,2338052.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,1058205.11,1279847.49,,0,2338052.6,1279847.49,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1279847.49,2338052.6,,PP_FAC_Act,AUXIA ASS HM ACT COTE
