PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-01-06T00:00:00,Groupe MH,MHP,MHP2C,FR001400IAV8,MH AMUNDI ACTIONS USA C,1515.26,2025-12-31T00:00:00,P,80245,1000,111914639.50999998,111914639.50999998,121592038.69999999,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,10184109,PP_FAC_Act_US_LC,111914639.50999998,9677399.190000013,0,121592038.69999999,9677399.190000013,MHP AG,Hors mandat MHP AG,0,9677399.190000013,121592038.69999999,PP_FAC_Act,MHP HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007045950,FEDERIS ISR EURO M,2390.61,2025-12-31T00:00:00,P,24261,1,20164514.1,20164514.1,57998589.21,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,20164514.1,37834075.11,0,57998589.21,37834075.11,AUXIA AG,Hors mandat AUXIA AG,0,37834075.11,57998589.21,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2470.42,2025-12-31T00:00:00,P,7888,1,8412826.24,8412826.24,19486672.96,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11073846.72,0,19486672.96,11073846.72,AUXIA AG,Hors mandat AUXIA AG,0,11073846.72,19486672.96,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,477.77,2025-12-31T00:00:00,P,60537,1,11652333.39,11652333.39,28922762.49,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,17270429.099999998,0,28922762.49,17270429.099999998,AUXIA AG,Hors mandat AUXIA AG,0,17270429.099999998,28922762.49,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6506.26,2025-12-31T00:00:00,P,1306,1,2295229.7,2295229.7,8497175.56,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,2295229.7,6201945.86,0,8497175.56,6201945.86,AUXIA AG,Hors mandat AUXIA AG,0,6201945.86,8497175.56,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3432.11,2025-12-31T00:00:00,P,2700,1,3878112,3878112,9266697,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,3878112,5388585,0,9266697,5388585,AUXIA AG,Hors mandat AUXIA AG,0,5388585,9266697,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,952.76,2025-12-31T00:00:00,P,22218,1,8865004.54,8865004.540000001,21168421.68,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.540000001,12303417.139999999,0,21168421.68,12303417.139999999,AUXIA AG,Hors mandat AUXIA AG,0,12303417.139999999,21168421.68,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-06T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4418.33,2025-12-31T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,39738460.02,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,19308289.71,0,39738460.02,19308289.71,AUXIA AG,Hors mandat AUXIA AG,0,19308289.71,39738460.02,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-06T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007045950,FEDERIS ISR EURO M,2390.61,2025-12-31T00:00:00,P,940,1,1058205.1099999999,1058205.1099999999,2247173.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,1058205.1099999999,1188968.29,0,2247173.4,1188968.29,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1188968.29,2247173.4,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-06T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6506.26,2025-12-31T00:00:00,P,80,1,354119.48,354119.48,520500.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,354119.48,166381.32,0,520500.8,166381.32,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,166381.32,520500.8,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-06T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007074166,LBPAM ACTIONS VALUE EURO,3431.85,2025-12-31T00:00:00,P,360,1,482660.91,482660.91,1235466,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,482660.91,752805.0900000001,0,1235466,752805.0900000001,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,752805.0900000001,1235466,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-06T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4008.35,2025-12-31T00:00:00,P,459,1,824285.82,824285.82,1839832.65,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,824285.82,1015546.83,0,1839832.65,1015546.83,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1015546.83,1839832.65,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
