PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Ref Unik Asset],PMVL[Flag Fonds Dedie],PMVL[PFMIndice.Perf J / J-1]
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,QUATREM,QUA2A,FR001400IAX4,MH AMUNDI ACTIONS ASIE PACIFIQUE,1277.1,2026-03-24T00:00:00,P,3439,1000,3381610.33,3381610.33,4391946.9,PP,PP_FAC_Act_Asie,FR41,10230506,PP_FAC_Act_Asie,3381610.33,1010336.5700000003,MSDEPN,4488674.971942274,1107064.6419422738,QUATREM AG,Hors mandat QUATREM AG,0,1107064.6419422738,4488674.971942274,2026-03-25T00:00:00,PP_FAC_Act,QUATREM HM ACT COTE,2026-03-26T00:00:00,FC_Act_AsPac,Vrai,0.022023962070733
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA,AUX2D,FR0010990093,TESTAMENT OBSEQUES FINANCEMENT,136.63,2026-03-20T00:00:00,P,139427.4806,100,18499109.134381104,18499109.134381104,19049976.669999998,PP,PP_FAC_Taux_Infl,FR42,3215199,PP_FAC_Taux_Infl,18499109.134381104,550867.5356188938,LF94TRUU,19005386.025784522,506276.89140341803,AUXIA AG,Hors mandat AUXIA AG,0,506276.89140341803,19005386.025784522,2026-03-24T00:00:00,PP_FAC_Taux,AUXIA HM ACT PIV UC,2026-03-26T00:00:00,FC_Taux_Infl,Vrai,-0.00234071909839634
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,MHRS,MRS2C,FR0014006K51,BNP 12/31 0004,0.9643999999999999,2026-03-25T00:00:00,%,3243000,1000,3239676.8,3239676.8,3127549.2,PA,PA_Obl_Struct,NL54,8800121,PA_Obl_Struct,3239676.8,-112127.59999999963,LECPTREU,3125269.5898053893,-114407.21019461052,MHRS AG,Hors mandat MHRS AG,0,-114407.21019461052,3125269.5898053893,2026-03-24T00:00:00,PA_Obl_Struct,MHRS HM ACTIFS COTE,2026-03-26T00:00:00,Obl_Entr_Sub_Stru,Vrai,-0.000728880682232346
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,QUATREM,QUA2A,LU0945150927,AF IMP EUR CORP SHT TERM GREEN BD,1093.53,2026-03-25T00:00:00,P,10404,1000,10217976.479999999,10217976.479999999,11377086.12,PP,PP_FAC_Taux_Corp_IG,LU42,4498626,PP_FAC_Taux_Corp_IG,10217976.479999999,1159109.6400000006,LECPTREU,11368793.581707038,1150817.1017070394,QUATREM AG,Hors mandat QUATREM AG,0,1150817.1017070394,11368793.581707038,2026-03-24T00:00:00,PP_FAC_Taux,QUATREM HM ACT COTE,2026-03-26T00:00:00,FC_Taux_Entr,Vrai,-0.000728880682232346
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,QUATREM,QUA2A,XS1996470917,BNP 08/29 0001,1.0499,2026-02-27T00:00:00,%,2500000,100000,2519300,2506569.84,2624750,PP,PA_Obl_Struct,FR59,9946841,PA_Obl_Struct,2506569.84,118180.16000000015,LECPTREU,2622836.870429311,116267.0304293111,QUATREM AG,Hors mandat QUATREM AG,0,116267.0304293111,2622836.870429311,2026-03-24T00:00:00,PA_Obl_Struct,QUATREM HM ACT COTE,2026-03-26T00:00:00,Obl_Entr_Sub_Stru,Vrai,-0.000728880682232346
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA,AUX2A,FR0011662014,MM STRATIC,23742.55,2026-02-20T00:00:00,P,228,1,2306420.67,2306420.67,5413301.4,PP,PP_FAC_Act_EUR_MULTI,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3106880.7300000004,Composite_diversifie,5490081.512358795,3183660.842358795,AUXIA AG,Hors mandat AUXIA AG,0,3183660.842358795,5490081.512358795,2026-03-25T00:00:00,PP_FAC_Act,AUXIA HM ACT NC,2026-03-26T00:00:00,FC_Div,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0011662014,MM STRATIC,23742.55,2026-02-20T00:00:00,P,289,1,3514482.7600000002,3514482.7600000002,6861596.95,PP,PP_FAC_Act_EUR_MULTI,XL44,4622726,PP_FAC_Act_EUR_MULTI,3514482.7600000002,3347114.19,Composite_diversifie,6958919.1099635605,3444436.3499635602,CMAV AG,Hors mandat CMAV AG,0,3444436.3499635602,6958919.1099635605,2026-03-25T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Div,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0011527944,LBPAM SLECTION PRO RENDGLBLMH,1207.67,2026-03-16T00:00:00,P,3010,1,3064270.3,3064270.3,3635086.7,PP,PP_FAC_Taux_Corp_IG,FR42,7240232,PP_FAC_Taux_Corp_IG,3064270.3,570816.4000000004,LECPTREU,3632437.1555261305,568166.8555261306,CMAV AG,Hors mandat CMAV AG,0,568166.8555261306,3632437.1555261305,2026-03-24T00:00:00,PP_FAC_Taux,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Taux_Entr,Vrai,-0.000728880682232346
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0011049709,LBPAM SELECTION ACTIONS EMERGENTS,2234.18,2026-03-17T00:00:00,P,550,1,550383.4,550383.4,1228799,PP,PP_FAC_Act_Eme,FR41,4622717,PP_FAC_Act_Eme,550383.4,678415.6,MSDEEEMN,1254240.6360278742,703857.2360278742,CMAV AG,Hors mandat CMAV AG,0,703857.2360278742,1254240.6360278742,2026-03-25T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Act_Emerg,Vrai,0.020704473252236
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0010831693,Ostrum SRI Cash Plus I C EUR,111597.36,2026-03-25T00:00:00,P,135.35,1,15034356.289959848,15034356.289959848,15104702.68,PP,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,15034356.289959848,70346.39004015177,Monetaire,15104702.68,70346.39004015177,CMAV AG,Hors mandat CMAV AG,0,70346.39004015177,15104702.68,,PP_Mon_Fonds,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Mon,Vrai,0
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0007012182,LBPAM ISR Actions Euromonde MH,9648.36,2026-03-17T00:00:00,P,2219,1,7331216.74,7331216.74,21409710.84,PP,PP_FAC_Act_Global,FR41,5873490,PP_FAC_Act_Global,7331216.74,14078494.1,ActionMixte,21630745.68520413,14299528.94520413,CMAV AG,Hors mandat CMAV AG,0,14299528.94520413,21630745.68520413,2026-03-25T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Act_Mixte,Vrai,0.010324046263678
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0011758044,LBPAM PRO ALTO M,1134.65,2026-03-17T00:00:00,P,13700,1,13507104,13507104,15544705,PP,PP_FAC_Taux_Corp_IG,FR42,5873495,PP_FAC_Taux_Corp_IG,13507104,2037601,Composite_diversifie,15765184.908339173,2258080.9083391726,CMAV AG,Hors mandat CMAV AG,0,2258080.9083391726,15765184.908339173,2026-03-25T00:00:00,PP_FAC_Taux,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Div,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA,AUX2E,FR0010752865,COVEA PROFIL DYNAMIQUE D,116.46,2026-03-23T00:00:00,P,4224.5429,1,429905.1995132627,429905.1995132627,491990.27,PP,PP_FAC_Act_EUR_LC,FR41,8466180,PP_FAC_Act_EUR_LC,429905.1995132627,62085.0704867373,Composite_diversifie,498968.46415893483,69063.26464567211,AUXIA AG,Hors mandat AUXIA AG,0,69063.26464567211,498968.46415893483,2026-03-25T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-26T00:00:00,FC_Div,Vrai,0.0141836019621584
