PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Ref Unik Asset]
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6057.46,2026-03-20T00:00:00,P,80,1,354119.48,354119.48,484596.8,PP,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,354119.48,130477.32,M7EM,0.0107658220656743,489813.88292239513,135694.40292239515,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,135694.40292239515,489813.88292239513,2026-03-23T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007475975,MH Lazard action euro LC,472.07,2026-03-20T00:00:00,P,4450.77846,1,1058205.1096047643,1058205.1096047643,2101078.99,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,1058205.1096047643,1042873.880395236,M7EM,0.0107658220656743,2123698.832552267,1065493.7229475025,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1065493.7229475025,2123698.832552267,2026-03-23T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007074166,LBPAM ACTIONS VALUE EURO,3218.29,2026-03-20T00:00:00,P,360,1,482660.91,482660.91,1158584.4,PP,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,482660.91,675923.49,M7EM,0.0107658220656743,1171057.513498466,688396.6034984661,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,688396.6034984661,1171057.513498466,2026-03-23T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4273.9,2026-03-20T00:00:00,P,253,1,678111.4199999999,678111.4199999999,1081296.7,PP,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,678111.4199999999,403185.28,,0,1081296.7,403185.28,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,403185.28,1081296.7,,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-24T00:00:00,FC_Act_US
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007475975,MH Lazard action euro LC,472.07,2026-03-20T00:00:00,P,3835.24527,1,684647.7968692987,684647.7968692987,1810504.23,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,684647.7968692987,1125856.4331307013,M7EM,0.0107658220656743,1829995.7963893306,1145347.999520032,CAPREVAL AG,batch,0,1145347.999520032,1829995.7963893306,2026-03-23T00:00:00,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0000986531,SELECTION VALEURS MOYENNES,922.52,2026-03-20T00:00:00,P,1046,1,402464.80000000005,402464.79999999993,964955.92,PP,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,402464.79999999993,562491.1200000001,M7EM,0.0107658220656743,975344.4637359391,572879.6637359392,CAPREVAL AG,batch,0,572879.6637359392,975344.4637359391,2026-03-23T00:00:00,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007057674,FEDERIS ISR ACTIONS US MM,4273.9,2026-03-20T00:00:00,P,71,1,220418.58000000002,220418.58000000002,303446.9,PP,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,220418.58000000002,83028.32,,0,303446.9,83028.32,CAPREVAL AG,batch,0,83028.32,303446.9,,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-03-24T00:00:00,FC_Act_US
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,CMAV,CMA2C,FR001400IAV8,MH AMUNDI ACTIONS USA C,1465.31,2026-03-20T00:00:00,P,3113,1000,3394775.8999999994,3394775.9,4561510.03,PP,PP_FAC_Act_US_LC,FR41,10184109,PP_FAC_Act_US_LC,3394775.9,1166734.1300000004,,0,4561510.03,1166734.1300000004,CMAV AG,Hors mandat CMAV AG,0,1166734.1300000004,4561510.03,,PP_FAC_Act,CMAV HM ACT COTE,2026-03-24T00:00:00,FC_Act_US
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,CMAV,CMA2C,FR001400IAW6,MH AMUNDI ACTIONS EURO C,1387.96,2026-03-20T00:00:00,P,5155,1000,5683610.9399999995,5683610.9399999995,7154933.8,PP,PP_FAC_Act_EUR_LC,FR41,10184067,PP_FAC_Act_EUR_LC,5683610.9399999995,1471322.8600000003,M7EM,0.0107658220656743,7231962.544182479,1548351.60418248,CMAV AG,Hors mandat CMAV AG,0,1548351.60418248,7231962.544182479,2026-03-23T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,CMAV,CMA2C,FR0007475975,MH Lazard action euro LC,472.07,2026-03-20T00:00:00,P,2793.57371,1,525483.4981946029,525483.4981946029,1318762.34,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,525483.4981946029,793278.8418053972,M7EM,0.0107658220656743,1332959.9006993524,807476.4025047495,CMAV AG,Hors mandat CMAV AG,0,807476.4025047495,1332959.9006993524,2026-03-23T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
