PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name]
EXPORT_PRMP_ADP,2026-01-30T00:00:00,Groupe MH,MHRS,MRS2C,FR0010590950,OBJECTIF CREDIT FI-C,20096.32,2026-01-28T00:00:00,P,170,1,2211485.6,2211485.6,3416374.4,PP,FC_Taux_Autre,PP_FAC_Taux_Corp_HY,FR42,2956515,PP_FAC_Taux_Corp_HY,2211485.6,1204888.7999999998,LECPTREU,0.000855782347020409,3419298.072902332,1207812.472902332,MHRS AG,Hors mandat MHRS AG,0,1207812.472902332,3419298.072902332,2026-01-28T00:00:00,PP_FAC_Taux,MHRS HM ACTIFS COTE
EXPORT_PRMP_ADP,2026-01-30T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007045950,FEDERIS ISR EURO M,2456.77,2026-01-28T00:00:00,P,24261,1,20164514.1,20164514.1,59603696.97,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,20164514.1,39439182.87,M7EM,-0.00664893617021277,59207395.79333776,39042881.69333776,AUXIA AG,Hors mandat AUXIA AG,0,39042881.69333776,59207395.79333776,2026-01-29T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-30T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2518.58,2026-01-28T00:00:00,P,7888,1,8412826.24,8412826.24,19866559.04,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11453732.799999999,M7EM,-0.00664893617021277,19734467.557021275,11321641.317021275,AUXIA AG,Hors mandat AUXIA AG,0,11321641.317021275,19734467.557021275,2026-01-29T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-30T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,463.96,2026-01-28T00:00:00,P,60537,1,11652333.39,11652333.39,28086746.52,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,16434413.129999999,M7EM,-0.00664893617021277,27899999.535159573,16247666.145159572,AUXIA AG,Hors mandat AUXIA AG,0,16247666.145159572,27899999.535159573,2026-01-29T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-30T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6668.39,2026-01-28T00:00:00,P,840,1,1476258,1476258,5601447.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,4125189.5999999996,M7EM,-0.00664893617021277,5564203.932446808,4087945.9324468076,AUXIA AG,Hors mandat AUXIA AG,0,4087945.9324468076,5564203.932446808,2026-01-29T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-30T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,991.41,2026-01-28T00:00:00,P,22218,1,8865004.54,8865004.54,22027147.38,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.54,13162142.84,M7EM,-0.00664893617021277,21880690.28305851,13015685.74305851,AUXIA AG,Hors mandat AUXIA AG,0,13015685.74305851,21880690.28305851,2026-01-29T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-30T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4410.08,2026-01-28T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,39664259.519999996,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,19234089.209999993,,0,39664259.519999996,19234089.209999993,AUXIA AG,Hors mandat AUXIA AG,0,19234089.209999993,39664259.519999996,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-30T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,149.29,2026-01-28T00:00:00,P,10886,1,1080979.8,1080979.8,1625170.94,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,544191.1399999999,MSDEEEMN,-8.08171511953809E-05,1625039.5983144236,544059.7983144235,AUXIA AG,Hors mandat AUXIA AG,0,544059.7983144235,1625039.5983144236,2026-01-29T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-30T00:00:00,Groupe MH,AUXIA,AUX2E,LU2541301847,EdRF EM Climate Bonds S EUR H,108.42,2026-01-28T00:00:00,P,35239,1,3518261.7600000007,3518261.7600000002,3820612.38,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,3518261.7600000002,302350.61999999965,,0,3820612.38,302350.61999999965,AUXIA AG,Hors mandat AUXIA AG,0,302350.61999999965,3820612.38,,PP_FAC_Taux,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-30T00:00:00,Groupe MH,AUXIA,AUX2E,IE00B4WXJJ64,ISHARES CORE EUR GVT (GER),109.825,2026-01-28T00:00:00,P,150000,1,16379280,16379280,16473750,PP,FC_Taux_Souv,PP_FAC_Taux_Gov,GB42,5030921,PP_FAC_Taux_Gov,16379280,94470,,0,16473750,94470,AUXIA AG,Hors mandat AUXIA AG,0,94470,16473750,,PP_FAC_Taux,AUXIA HM ACT COTE
