PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-01-15T00:00:00,Groupe MH,MUTUELLE MH,MMH2C,FR001400IAW6,MH AMUNDI ACTIONS EURO C,1506.09,2026-01-13T00:00:00,P,7556,1000,7760837.859999999,7760837.859999999,11380016.040000001,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,10184067,PP_FAC_Act_EUR_LC,7760837.859999999,3619178.1800000016,0,11380016.040000001,3619178.1800000016,MMH AG,Hors mandat MUTUELLE MH AG,0,3619178.1800000016,11380016.040000001,PP_FAC_Act,MHM HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-15T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2552.87,2026-01-13T00:00:00,P,7888,1,8412826.24,8412826.24,20137038.56,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11724212.319999998,0,20137038.56,11724212.319999998,AUXIA AG,Hors mandat AUXIA AG,0,11724212.319999998,20137038.56,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-15T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,481.55,2026-01-13T00:00:00,P,60537,1,11652333.39,11652333.39,29151592.349999998,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,17499258.959999997,0,29151592.349999998,17499258.959999997,AUXIA AG,Hors mandat AUXIA AG,0,17499258.959999997,29151592.349999998,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-15T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6822.82,2026-01-13T00:00:00,P,840,1,1476258,1476258,5731168.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,4254910.8,0,5731168.8,4254910.8,AUXIA AG,Hors mandat AUXIA AG,0,4254910.8,5731168.8,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-15T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,144.71,2026-01-13T00:00:00,P,10886,1,1080979.8,1080979.8,1575313.06,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,494333.26,0.00410858015436907,1581785.3599752344,500805.5599752343,AUXIA AG,Hors mandat AUXIA AG,0,500805.5599752343,1581785.3599752344,PP_FAC_Act,AUXIA HM ACT COTE,MSDEEEMN,2026-01-14T00:00:00
EXPORT_PRMP_ADP,2026-01-15T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3521.43,2026-01-13T00:00:00,P,2700,1,3878112,3878112,9507861,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,3878112,5629749,0,9507861,5629749,AUXIA AG,Hors mandat AUXIA AG,0,5629749,9507861,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-15T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,995.55,2026-01-13T00:00:00,P,22218,1,8865004.54,8865004.54,22119129.900000002,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.54,13254125.360000003,0,22119129.900000002,13254125.360000003,AUXIA AG,Hors mandat AUXIA AG,0,13254125.360000003,22119129.900000002,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-15T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4496.23,2026-01-13T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,40439092.62,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,20008922.309999995,0,40439092.62,20008922.309999995,AUXIA AG,Hors mandat AUXIA AG,0,20008922.309999995,40439092.62,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-15T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007045950,FEDERIS ISR EURO M,2483.78,2026-01-13T00:00:00,P,940,1,1058205.11,1058205.11,2334753.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,1058205.11,1276548.09,0,2334753.2,1276548.09,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1276548.09,2334753.2,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-15T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6822.82,2026-01-13T00:00:00,P,80,1,354119.48,354119.48,545825.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,354119.48,191706.12,0,545825.6,191706.12,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,191706.12,545825.6,PP_FAC_Act,AUXIA ASS HM ACT COTE,,
