threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,fold
0.95,0.6956933270231898,0.7917659533449007,0.9844206426484907,0.6172161172161172,0.7587242026266416,0.4873805870556723,459,16,627,1011,0.9458922948396633,0.982847007967258,0.07395067271274193,175437.68627440007,174183.68627440007,1254.0,16,627,1
0.9,0.7946048272598202,0.8533211233211233,0.9847020933977456,0.7466422466422467,0.8493055555555555,0.599285094904709,456,19,415,1223,0.9458922948396633,0.982847007967258,0.07395067271274193,176224.52215440004,175394.52215440004,830.0,19,415,1
0.85,0.8282063416942735,0.8705096073517126,0.9811320754716981,0.7936507936507936,0.8774890313871077,0.6396791201248817,450,25,338,1300,0.9458922948396633,0.982847007967258,0.07395067271274193,268454.9805144002,267778.9805144002,676.0,25,338,1
0.8,0.8566019876952201,0.8828455754771545,0.9764453961456103,0.8351648351648352,0.9002961500493584,0.6762360466961692,442,33,270,1368,0.9458922948396633,0.982847007967258,0.07395067271274193,301886.64796488686,301346.64796488686,540.0,33,270,1
0.75,0.8632276384287743,0.8729188355504145,0.9642119752236752,0.8553113553113553,0.90650274991912,0.6718050957670036,423,52,237,1401,0.9458922948396633,0.982847007967258,0.07395067271274193,323051.63429586036,322577.63429586036,474.0,52,237,1
0.7,0.8793185044959773,0.8743287706445602,0.9576439444076771,0.8833943833943834,0.9190219117180057,0.6923990755412883,411,64,191,1447,0.9458922948396633,0.982847007967258,0.07395067271274193,342367.7709658604,341985.7709658604,382.0,64,191,1
0.65,0.8887837198296261,0.8714652014652015,0.9511254019292604,0.9029304029304029,0.9264015032884435,0.7035088881828454,399,76,159,1479,0.9458922948396633,0.982847007967258,0.07395067271274193,352193.96233586036,351875.96233586036,318.0,76,159,1
0.6,0.8991954566966398,0.8654752265278581,0.9422718808193669,0.9267399267399268,0.9344413665743305,0.7169552749098568,382,93,120,1518,0.9458922948396633,0.982847007967258,0.07395067271274193,420621.5639858603,420381.5639858603,240.0,93,120,1
0.55,0.9010884997633696,0.8524959835486151,0.9322444041137327,0.9407814407814408,0.9364934670312974,0.7131363591123223,363,112,97,1541,0.9458922948396633,0.982847007967258,0.07395067271274193,465047.0829558573,464853.0829558573,194.0,112,97,1
0.5,0.9025082820634169,0.841453634085213,0.9241706161137441,0.9523809523809523,0.9380637402285027,0.7111886258626863,347,128,78,1560,0.9458922948396633,0.982847007967258,0.07395067271274193,538859.5666958573,538703.5666958573,156.0,128,78,1
0.45,0.8977756743965926,0.8227061242850717,0.9133720930232558,0.9590964590964591,0.9356759976176295,0.6924373059818774,326,149,67,1571,0.9458922948396633,0.982847007967258,0.07395067271274193,716662.4052858576,716528.4052858576,134.0,149,67,1
0.4,0.89730241362991,0.8111901548743654,0.906232132647227,0.9676434676434676,0.935931502804842,0.6880404977791594,311,164,53,1585,0.9458922948396633,0.982847007967258,0.07395067271274193,822873.7030858677,822767.7030858677,106.0,164,53,1
0.35,0.8868906767628963,0.7865374975901291,0.8940845070422535,0.9688644688644689,0.9299736302373278,0.6526159504957859,287,188,51,1587,0.9458922948396633,0.982847007967258,0.07395067271274193,1027471.3171058677,1027369.3171058677,102.0,188,51,1
0.3,0.882158069096072,0.7730216567058672,0.8873396542108198,0.9713064713064713,0.9274264062955406,0.6358661598556337,273,202,47,1591,0.9458922948396633,0.982847007967258,0.07395067271274193,1069568.2416058676,1069474.2416058676,94.0,202,47,1
0.25,0.8764789398958827,0.7536636462952253,0.8776741634668129,0.9768009768009768,0.9245882692863334,0.6154597369075296,252,223,38,1600,0.9458922948396633,0.982847007967258,0.07395067271274193,1290946.564535868,1290870.564535868,76.0,223,38,1
0.2,0.8684335068622812,0.7320320030846347,0.8675675675675676,0.9798534798534798,0.9202981651376146,0.5868375563273027,230,245,33,1605,0.9458922948396633,0.982847007967258,0.07395067271274193,1496358.8125258675,1496292.8125258675,66.0,245,33,1
0.15,0.8632276384287743,0.7159687680740312,0.8601174586225308,0.9835164835164835,0.9176872685844488,0.5682640610303382,213,262,27,1611,0.9458922948396633,0.982847007967258,0.07395067271274193,1590422.3313758657,1590368.3313758657,54.0,262,27,1
0.1,0.8547089446284903,0.6932844932844933,0.8500789058390321,0.9865689865689866,0.9132523311669963,0.537120555912968,190,285,22,1616,0.9458922948396633,0.982847007967258,0.07395067271274193,1751139.4839348956,1751095.4839348956,44.0,285,22,1
0.05,0.8395646000946522,0.6528738512949039,0.8329062019477191,0.9920634920634921,0.9055447199777097,0.47971225568171005,149,326,13,1625,0.9458922948396633,0.982847007967258,0.07395067271274193,1892393.9585009164,1892367.9585009164,26.0,326,13,1
0.65,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,2988.0,0.0,2988.0,0,1494,2
0.7,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,2988.0,0.0,2988.0,0,1494,2
0.75,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,2988.0,0.0,2988.0,0,1494,2
0.8,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,2988.0,0.0,2988.0,0,1494,2
0.85,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,2988.0,0.0,2988.0,0,1494,2
0.9,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,2988.0,0.0,2988.0,0,1494,2
0.95,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,2988.0,0.0,2988.0,0,1494,2
0.6,0.40937056318031234,0.5709753391595461,0.9183673469387755,0.18072289156626506,0.30201342281879195,0.18666722903526253,595,24,1224,270,0.7857612463856503,0.8718255695648016,0.2063746340001267,45301.58879017445,42853.58879017445,2448.0,24,1224,2
0.55,0.7046852815901562,0.7079021524979834,0.855973813420622,0.7001338688085676,0.7702503681885126,0.3832085141803946,443,176,448,1046,0.7857612463856503,0.8718255695648016,0.2063746340001267,885655.9791365863,884759.9791365863,896.0,176,448,2
0.5,0.7931850449597728,0.708038940900922,0.8158995815899581,0.9136546184738956,0.8620145247868646,0.46635962494523076,311,308,129,1365,0.7857612463856503,0.8718255695648016,0.2063746340001267,2611318.7409435217,2611060.7409435217,258.0,308,129,2
0.45,0.7941315664931378,0.6803233396699344,0.7949860724233984,0.9551539491298527,0.8677409546974765,0.4590465994728362,251,368,67,1427,0.7857612463856503,0.8718255695648016,0.2063746340001267,2749764.5652735215,2749630.5652735215,134.0,368,67,2
0.4,0.7799337434926644,0.6418982337535386,0.7729442970822281,0.9752342704149933,0.8623853211009175,0.416298175817782,191,428,37,1457,0.7857612463856503,0.8718255695648016,0.2063746340001267,2767359.6522135157,2767285.6522135157,74.0,428,37,2
0.35,0.7524846190250828,0.5799098386004978,0.7419033383158944,0.9966532797858099,0.8506141102542131,0.33321477762109,101,518,5,1489,0.7857612463856503,0.8718255695648016,0.2063746340001267,3361527.8935885057,3361517.8935885057,10.0,518,5,2
0.05,0.7070515854235684,0.5,0.7070515854235684,1.0,0.8283892431383421,0.0,0,619,0,1494,0.7857612463856503,0.8718255695648016,0.2063746340001267,3380829.434636623,3380829.434636623,0.0,619,0,2
0.1,0.7070515854235684,0.5,0.7070515854235684,1.0,0.8283892431383421,0.0,0,619,0,1494,0.7857612463856503,0.8718255695648016,0.2063746340001267,3380829.434636623,3380829.434636623,0.0,619,0,2
0.15,0.7070515854235684,0.5,0.7070515854235684,1.0,0.8283892431383421,0.0,0,619,0,1494,0.7857612463856503,0.8718255695648016,0.2063746340001267,3380829.434636623,3380829.434636623,0.0,619,0,2
0.2,0.7070515854235684,0.5,0.7070515854235684,1.0,0.8283892431383421,0.0,0,619,0,1494,0.7857612463856503,0.8718255695648016,0.2063746340001267,3380829.434636623,3380829.434636623,0.0,619,0,2
0.25,0.7070515854235684,0.5,0.7070515854235684,1.0,0.8283892431383421,0.0,0,619,0,1494,0.7857612463856503,0.8718255695648016,0.2063746340001267,3380829.434636623,3380829.434636623,0.0,619,0,2
0.3,0.7070515854235684,0.5,0.7070515854235684,1.0,0.8283892431383421,0.0,0,619,0,1494,0.7857612463856503,0.8718255695648016,0.2063746340001267,3380829.434636623,3380829.434636623,0.0,619,0,2
0.9,0.3677236157122575,0.5,0.0,0.0,0.0,0.0,777,0,1336,0,0.8794592282616235,0.9035983693764769,0.13007894887458896,2672.0,0.0,2672.0,0,1336,3
0.95,0.3677236157122575,0.5,0.0,0.0,0.0,0.0,777,0,1336,0,0.8794592282616235,0.9035983693764769,0.13007894887458896,2672.0,0.0,2672.0,0,1336,3
0.85,0.42972077614765736,0.5466037037893325,0.9395973154362416,0.10479041916167664,0.18855218855218855,0.17554978076955133,768,9,1196,140,0.8794592282616235,0.9035983693764769,0.13007894887458896,22631.50303,20239.50303,2392.0,9,1196,3
0.8,0.6341694273544723,0.6956256406106706,0.917037037037037,0.4633233532934132,0.6156141223272004,0.4046114622610045,721,56,717,619,0.8794592282616235,0.9035983693764769,0.13007894887458896,263242.988280857,261808.988280857,1434.0,56,717,3
0.75,0.7079981069569332,0.7432389082838184,0.8946212952799122,0.6100299401197605,0.7254116599910992,0.4736585240281907,681,96,521,815,0.8794592282616235,0.9035983693764769,0.13007894887458896,493125.5403678451,492083.5403678451,1042.0,96,521,3
0.7,0.7534311405584477,0.7705510793085644,0.880485527544351,0.7058383233532934,0.7835479850436228,0.5218724971978507,649,128,393,943,0.8794592282616235,0.9035983693764769,0.13007894887458896,583137.5127634397,582351.5127634397,786.0,128,393,3
0.65,0.7766209181258874,0.7845814163179432,0.875,0.7544910179640718,0.8102893890675241,0.5511405143744589,633,144,328,1008,0.8794592282616235,0.9035983693764769,0.13007894887458896,794970.2312246576,794314.2312246576,656.0,144,328,3
0.6,0.7988641741599621,0.7994787452122782,0.8736669401148482,0.7971556886227545,0.8336594911937377,0.5845735037533882,623,154,271,1065,0.8794592282616235,0.9035983693764769,0.13007894887458896,1035418.7272990576,1034876.7272990576,542.0,154,271,3
0.55,0.8239469947941316,0.8141983407701971,0.8679389312977099,0.8510479041916168,0.8594104308390023,0.6242437472692722,604,173,199,1137,0.8794592282616235,0.9035983693764769,0.13007894887458896,1138780.2655302957,1138382.2655302957,398.0,173,199,3
0.5,0.8272598201609087,0.8122408657588298,0.8593634344929681,0.8690119760479041,0.8641607740975065,0.6270877491087119,587,190,175,1161,0.8794592282616235,0.9035983693764769,0.13007894887458896,1552915.5219702956,1552565.5219702956,350.0,190,175,3
